_parent_table_path,_parent_table_name,_parent_record_index,_index,DDEP,PGID,PPOS,TGID
BLOB,BLOB,1,90,2,21623,12,1101
BLOB,BLOB,1,91,0,25754,13,1101
BLOB,BLOB,1,92,0,21004,14,1101
BLOB,BLOB,1,93,1,28620,14,1101
BLOB,BLOB,1,94,0,25754,15,1101
BLOB,BLOB,1,95,1,28618,15,1101
BLOB,BLOB,1,96,2,12063,15,1101
BLOB,BLOB,1,97,0,29515,16,1101
BLOB,BLOB,1,98,1,8763,16,1101
BLOB,BLOB,1,99,2,22779,16,1101
BLOB,BLOB,1,100,3,34494,16,1101
BLOB,BLOB,1,101,4,11861,16,1101
BLOB,BLOB,1,102,0,6078,17,1101
BLOB,BLOB,1,103,1,28613,17,1101
BLOB,BLOB,1,104,2,7508,17,1101
BLOB,BLOB,1,105,0,25751,18,1101
BLOB,BLOB,1,106,1,31057,18,1101
BLOB,BLOB,1,107,0,33457,19,1101
BLOB,BLOB,1,108,0,10844,20,1101
BLOB,BLOB,1,109,0,204958,21,1101
BLOB,BLOB,1,110,0,1194,22,1101
BLOB,BLOB,1,111,1,11861,22,1101
BLOB,BLOB,1,112,0,1194,23,1101
BLOB,BLOB,1,113,0,33457,24,1101
BLOB,BLOB,1,114,0,29115,25,1101
BLOB,BLOB,1,115,0,1194,26,1101
BLOB,BLOB,1,116,0,29115,27,1101
BLOB,BLOB,1,117,0,1194,28,1101
BLOB,BLOB,1,118,0,25758,29,1101
BLOB,BLOB,1,119,0,20622,30,1101
BLOB,BLOB,1,120,0,33454,31,1101
BLOB,BLOB,1,121,0,21623,32,1101
BLOB,BLOB,1,122,0,21004,33,1101
BLOB,BLOB,1,123,0,22779,34,1101
BLOB,BLOB,1,124,1,28749,34,1101
BLOB,BLOB,1,125,0,19746,0,1102
BLOB,BLOB,1,126,1,23933,0,1102
BLOB,BLOB,1,127,2,249,0,1102
BLOB,BLOB,1,128,0,18909,1,1102
BLOB,BLOB,1,129,1,23327,1,1102
BLOB,BLOB,1,130,2,23940,1,1102
BLOB,BLOB,1,131,0,18248,3,1102
BLOB,BLOB,1,132,1,270,3,1102
BLOB,BLOB,1,133,2,20618,3,1102
BLOB,BLOB,1,134,3,274,3,1102
BLOB,BLOB,1,135,4,18251,3,1102
BLOB,BLOB,1,136,0,23951,4,1102
BLOB,BLOB,1,137,1,1040,4,1102
BLOB,BLOB,1,138,2,9709,4,1102
BLOB,BLOB,1,139,0,23937,5,1102
BLOB,BLOB,1,140,1,18955,5,1102
BLOB,BLOB,1,141,0,5593,6,1102
BLOB,BLOB,1,142,1,236,6,1102
BLOB,BLOB,1,143,0,210,7,1102
BLOB,BLOB,1,144,1,24838,7,1102
BLOB,BLOB,1,145,0,1196,8,1102
BLOB,BLOB,1,146,1,18252,8,1102
BLOB,BLOB,1,147,0,23934,9,1102
BLOB,BLOB,1,148,1,24842,9,1102
BLOB,BLOB,1,149,0,10679,10,1102
BLOB,BLOB,1,150,1,22499,10,1102
BLOB,BLOB,1,151,0,20312,11,1102
BLOB,BLOB,1,152,1,23939,11,1102
BLOB,BLOB,1,153,2,7474,11,1102
BLOB,BLOB,1,154,0,22749,12,1102
BLOB,BLOB,1,155,1,220,12,1102
BLOB,BLOB,1,156,2,8171,12,1102
BLOB,BLOB,1,157,3,3763,12,1102
BLOB,BLOB,1,158,0,1608,13,1102
BLOB,BLOB,1,159,0,18259,14,1102
BLOB,BLOB,1,160,1,23945,14,1102
BLOB,BLOB,1,161,2,23941,14,1102
BLOB,BLOB,1,162,0,644,15,1102
BLOB,BLOB,1,163,1,258,15,1102
BLOB,BLOB,1,164,0,180,16,1102
BLOB,BLOB,1,165,1,23935,16,1102
BLOB,BLOB,1,166,2,23950,16,1102
BLOB,BLOB,1,167,3,214,16,1102
BLOB,BLOB,1,168,0,21771,17,1102
BLOB,BLOB,1,169,1,18257,17,1102
BLOB,BLOB,1,170,0,8202,18,1102
BLOB,BLOB,1,171,1,23936,18,1102
BLOB,BLOB,1,172,2,264,18,1102
BLOB,BLOB,1,173,0,232,19,1102
BLOB,BLOB,1,174,0,247,20,1102
BLOB,BLOB,1,175,0,270,22,1102
BLOB,BLOB,1,176,1,18251,22,1102
BLOB,BLOB,1,177,0,23935,23,1102
BLOB,BLOB,1,178,1,18248,23,1102
BLOB,BLOB,1,179,0,232,24,1102
BLOB,BLOB,1,180,0,23940,25,1102
BLOB,BLOB,1,181,0,18248,26,1102
BLOB,BLOB,1,182,0,18909,27,1102
BLOB,BLOB,1,183,0,270,28,1102
BLOB,BLOB,1,184,0,10679,29,1102
BLOB,BLOB,1,185,1,7474,29,1102
BLOB,BLOB,1,186,0,20312,30,1102
BLOB,BLOB,1,187,0,22499,31,1102
BLOB,BLOB,1,188,0,22749,32,1102
BLOB,BLOB,1,189,0,644,33,1102
BLOB,BLOB,1,190,0,18324,34,1102
BLOB,BLOB,1,191,1,10199,34,1102
BLOB,BLOB,1,192,0,21848,0,1103
BLOB,BLOB,1,193,1,6578,0,1103
BLOB,BLOB,1,194,2,31216,0,1103
BLOB,BLOB,1,195,0,27547,1,1103
BLOB,BLOB,1,196,1,23332,1,1103
BLOB,BLOB,1,197,2,21241,1,1103
BLOB,BLOB,1,198,3,22551,1,1103
BLOB,BLOB,1,199,0,9457,3,1103
BLOB,BLOB,1,200,1,27548,3,1103
BLOB,BLOB,1,201,2,13788,3,1103
BLOB,BLOB,1,202,3,13541,3,1103
BLOB,BLOB,1,203,4,33240,3,1103
BLOB,BLOB,1,204,5,27551,3,1103
BLOB,BLOB,1,205,0,13320,4,1103
BLOB,BLOB,1,206,1,27550,4,1103
BLOB,BLOB,1,207,0,19087,5,1103
BLOB,BLOB,1,208,0,8757,6,1103
BLOB,BLOB,1,209,0,9035,7,1103
BLOB,BLOB,1,210,0,5572,8,1103
BLOB,BLOB,1,211,1,8747,8,1103
BLOB,BLOB,1,212,0,29263,9,1103
BLOB,BLOB,1,213,1,13719,9,1103
BLOB,BLOB,1,214,2,14249,9,1103
BLOB,BLOB,1,215,0,13308,10,1103
BLOB,BLOB,1,216,0,33834,11,1103
BLOB,BLOB,1,217,1,27553,11,1103
BLOB,BLOB,1,218,0,1045,12,1103
BLOB,BLOB,1,219,1,13376,12,1103
BLOB,BLOB,1,220,2,13997,12,1103
BLOB,BLOB,1,221,3,10604,12,1103
BLOB,BLOB,1,222,4,27546,12,1103
BLOB,BLOB,1,223,0,29063,13,1103
BLOB,BLOB,1,224,0,33631,14,1103
BLOB,BLOB,1,225,1,29063,14,1103
BLOB,BLOB,1,226,2,205140,14,1103
BLOB,BLOB,1,227,0,33632,15,1103
BLOB,BLOB,1,228,1,13893,15,1103
BLOB,BLOB,1,229,2,27732,15,1103
BLOB,BLOB,1,230,0,7067,16,1103
BLOB,BLOB,1,231,1,19130,16,1103
BLOB,BLOB,1,232,2,3022,16,1103
BLOB,BLOB,1,233,3,28936,16,1103
BLOB,BLOB,1,234,4,33829,16,1103
BLOB,BLOB,1,235,0,19364,17,1103
BLOB,BLOB,1,236,1,30854,17,1103
BLOB,BLOB,1,237,0,18795,18,1103
BLOB,BLOB,1,238,1,743,18,1103
BLOB,BLOB,1,239,0,14709,19,1103
BLOB,BLOB,1,240,0,13717,20,1103
BLOB,BLOB,1,241,0,21241,22,1103
BLOB,BLOB,1,242,1,14724,22,1103
BLOB,BLOB,1,243,0,21241,23,1103
BLOB,BLOB,1,244,0,14709,24,1103
BLOB,BLOB,1,245,0,27547,25,1103
BLOB,BLOB,1,246,0,27548,26,1103
BLOB,BLOB,1,247,0,27547,27,1103
BLOB,BLOB,1,248,0,27551,28,1103
BLOB,BLOB,1,249,0,13308,29,1103
BLOB,BLOB,1,250,0,33834,30,1103
BLOB,BLOB,1,251,0,1045,31,1103
BLOB,BLOB,1,252,0,27546,32,1103
BLOB,BLOB,1,253,0,29063,33,1103
BLOB,BLOB,1,254,0,33829,34,1103
BLOB,BLOB,1,255,0,22933,0,1104
BLOB,BLOB,1,256,1,201513,0,1104
BLOB,BLOB,1,257,2,25577,0,1104
BLOB,BLOB,1,258,0,22410,1,1104
BLOB,BLOB,1,259,1,28999,1,1104
BLOB,BLOB,1,260,2,5702,1,1104
BLOB,BLOB,1,261,0,21376,3,1104
BLOB,BLOB,1,262,1,10651,3,1104
BLOB,BLOB,1,263,2,5620,3,1104
BLOB,BLOB,1,264,3,30804,3,1104
BLOB,BLOB,1,265,4,9817,3,1104
BLOB,BLOB,1,266,5,25575,3,1104
BLOB,BLOB,1,267,0,7389,4,1104
BLOB,BLOB,1,268,1,8561,4,1104
BLOB,BLOB,1,269,2,27759,4,1104
BLOB,BLOB,1,270,3,13138,4,1104
BLOB,BLOB,1,271,0,1334,5,1104
BLOB,BLOB,1,272,1,7455,5,1104
BLOB,BLOB,1,273,0,20687,6,1104
BLOB,BLOB,1,274,1,25588,6,1104
BLOB,BLOB,1,275,0,8153,7,1104
BLOB,BLOB,1,276,1,21942,7,1104
BLOB,BLOB,1,277,0,20063,8,1104
BLOB,BLOB,1,278,1,28997,8,1104
BLOB,BLOB,1,279,0,932,9,1104
BLOB,BLOB,1,280,1,8350,9,1104
BLOB,BLOB,1,281,0,21884,10,1104
BLOB,BLOB,1,282,1,4014,10,1104
BLOB,BLOB,1,283,0,19882,11,1104
BLOB,BLOB,1,284,0,25580,12,1104
BLOB,BLOB,1,285,1,25584,12,1104
BLOB,BLOB,1,286,2,14237,12,1104
BLOB,BLOB,1,287,3,33181,12,1104
BLOB,BLOB,1,288,0,23343,13,1104
BLOB,BLOB,1,289,1,8415,13,1104
BLOB,BLOB,1,290,0,21222,14,1104
BLOB,BLOB,1,291,1,25581,14,1104
BLOB,BLOB,1,292,0,20174,15,1104
BLOB,BLOB,1,293,0,19692,16,1104
BLOB,BLOB,1,294,1,22768,16,1104
BLOB,BLOB,1,295,2,34566,16,1104
BLOB,BLOB,1,296,3,685,16,1104
BLOB,BLOB,1,297,4,204762,16,1104
BLOB,BLOB,1,298,0,204763,17,1104
BLOB,BLOB,1,299,1,21625,17,1104
BLOB,BLOB,1,300,0,8098,18,1104
BLOB,BLOB,1,301,1,25060,18,1104
BLOB,BLOB,1,302,0,14019,19,1104
BLOB,BLOB,1,303,0,13587,20,1104
BLOB,BLOB,1,304,0,28999,22,1104
BLOB,BLOB,1,305,1,13892,22,1104
BLOB,BLOB,1,306,0,21376,23,1104
BLOB,BLOB,1,307,0,13232,24,1104
BLOB,BLOB,1,308,0,28999,25,1104
BLOB,BLOB,1,309,0,30804,26,1104
BLOB,BLOB,1,310,0,22410,27,1104
BLOB,BLOB,1,311,0,21376,28,1104
BLOB,BLOB,1,312,0,21884,29,1104
BLOB,BLOB,1,313,0,19882,30,1104
BLOB,BLOB,1,314,0,25584,31,1104
BLOB,BLOB,1,315,0,25580,32,1104
BLOB,BLOB,1,316,0,21222,33,1104
BLOB,BLOB,1,317,0,685,34,1104
BLOB,BLOB,1,318,1,20149,34,1104
BLOB,BLOB,1,319,0,3375,0,1105
BLOB,BLOB,1,320,1,8266,0,1105
BLOB,BLOB,1,321,0,989,1,1105
BLOB,BLOB,1,322,1,25560,1,1105
BLOB,BLOB,1,323,2,23502,1,1105
BLOB,BLOB,1,324,0,6839,3,1105
BLOB,BLOB,1,325,1,4131,3,1105
BLOB,BLOB,1,326,2,33133,3,1105
BLOB,BLOB,1,327,3,4142,3,1105
BLOB,BLOB,1,328,4,25074,3,1105
BLOB,BLOB,1,329,5,1348,3,1105
BLOB,BLOB,1,330,0,18532,4,1105
BLOB,BLOB,1,331,1,25551,4,1105
BLOB,BLOB,1,332,2,31374,4,1105
BLOB,BLOB,1,333,0,23689,5,1105
BLOB,BLOB,1,334,1,13961,5,1105
BLOB,BLOB,1,335,0,25558,6,1105
BLOB,BLOB,1,336,1,22513,6,1105
BLOB,BLOB,1,337,0,18420,7,1105
BLOB,BLOB,1,338,1,10945,7,1105
BLOB,BLOB,1,339,0,1385,8,1105
BLOB,BLOB,1,340,1,25553,8,1105
BLOB,BLOB,1,341,2,25567,8,1105
BLOB,BLOB,1,342,0,19834,9,1105
BLOB,BLOB,1,343,1,742,9,1105
BLOB,BLOB,1,344,0,19528,10,1105
BLOB,BLOB,1,345,1,23276,10,1105
BLOB,BLOB,1,346,0,21864,11,1105
BLOB,BLOB,1,347,1,9180,11,1105
BLOB,BLOB,1,348,0,6073,12,1105
BLOB,BLOB,1,349,1,10732,12,1105
BLOB,BLOB,1,350,2,19503,12,1105
BLOB,BLOB,1,351,3,7311,12,1105
BLOB,BLOB,1,352,0,18790,13,1105
BLOB,BLOB,1,353,0,30541,14,1105
BLOB,BLOB,1,354,1,206186,14,1105
BLOB,BLOB,1,355,0,23549,15,1105
BLOB,BLOB,1,356,1,18790,15,1105
BLOB,BLOB,1,357,0,21911,16,1105
BLOB,BLOB,1,358,1,22471,16,1105
BLOB,BLOB,1,359,2,10278,16,1105
BLOB,BLOB,1,360,3,25556,16,1105
BLOB,BLOB,1,361,0,21069,17,1105
BLOB,BLOB,1,362,1,28409,17,1105
BLOB,BLOB,1,363,2,30806,17,1105
BLOB,BLOB,1,364,0,19378,18,1105
BLOB,BLOB,1,365,1,4660,18,1105
BLOB,BLOB,1,366,0,14000,19,1105
BLOB,BLOB,1,367,0,13196,20,1105
BLOB,BLOB,1,368,0,1348,22,1105
BLOB,BLOB,1,369,1,4142,22,1105
BLOB,BLOB,1,370,0,25552,23,1105
BLOB,BLOB,1,371,0,13289,24,1105
BLOB,BLOB,1,372,0,989,25,1105
BLOB,BLOB,1,373,0,33133,26,1105
BLOB,BLOB,1,374,0,989,27,1105
BLOB,BLOB,1,375,0,33133,28,1105
BLOB,BLOB,1,376,0,9180,29,1105
BLOB,BLOB,1,377,0,21864,30,1105
BLOB,BLOB,1,378,1,23276,30,1105
BLOB,BLOB,1,379,0,6073,31,1105
BLOB,BLOB,1,380,1,19503,31,1105
BLOB,BLOB,1,381,0,6073,32,1105
BLOB,BLOB,1,382,0,30541,33,1105
BLOB,BLOB,1,383,0,21069,34,1105
BLOB,BLOB,1,384,1,23459,34,1105
BLOB,BLOB,1,385,0,6150,0,1106
BLOB,BLOB,1,386,1,27862,0,1106
BLOB,BLOB,1,387,2,205107,0,1106
BLOB,BLOB,1,388,0,8728,1,1106
BLOB,BLOB,1,389,1,22654,1,1106
BLOB,BLOB,1,390,2,24850,1,1106
BLOB,BLOB,1,391,0,10606,3,1106
BLOB,BLOB,1,392,1,20640,3,1106
BLOB,BLOB,1,393,2,170,3,1106
BLOB,BLOB,1,394,3,484,3,1106
BLOB,BLOB,1,395,4,177,3,1106
BLOB,BLOB,1,396,5,19815,3,1106
BLOB,BLOB,1,397,0,20868,4,1106
BLOB,BLOB,1,398,1,10724,4,1106
BLOB,BLOB,1,399,2,27883,4,1106
BLOB,BLOB,1,400,3,8444,4,1106
BLOB,BLOB,1,401,0,3063,5,1106
BLOB,BLOB,1,402,1,31350,5,1106
BLOB,BLOB,1,403,0,20533,6,1106
BLOB,BLOB,1,404,1,19579,6,1106
BLOB,BLOB,1,405,0,23114,7,1106
BLOB,BLOB,1,406,1,23961,7,1106
BLOB,BLOB,1,407,0,953,8,1106
BLOB,BLOB,1,408,0,470,9,1106
BLOB,BLOB,1,409,1,974,9,1106
BLOB,BLOB,1,410,2,27869,9,1106
BLOB,BLOB,1,411,0,20353,10,1106
BLOB,BLOB,1,412,1,24933,10,1106
BLOB,BLOB,1,413,2,23959,10,1106
BLOB,BLOB,1,414,0,6842,11,1106
BLOB,BLOB,1,415,1,31306,11,1106
BLOB,BLOB,1,416,2,3028,11,1106
BLOB,BLOB,1,417,0,25501,12,1106
BLOB,BLOB,1,418,1,18256,12,1106
BLOB,BLOB,1,419,2,18489,12,1106
BLOB,BLOB,1,420,3,351,12,1106
BLOB,BLOB,1,421,0,23033,13,1106
BLOB,BLOB,1,422,1,3028,13,1106
BLOB,BLOB,1,423,0,2542,14,1106
BLOB,BLOB,1,424,1,33830,14,1106
BLOB,BLOB,1,425,2,23054,14,1106
BLOB,BLOB,1,426,0,23033,15,1106
BLOB,BLOB,1,427,1,18281,15,1106
BLOB,BLOB,1,428,0,1599,16,1106
BLOB,BLOB,1,429,1,18363,16,1106
BLOB,BLOB,1,430,2,8367,16,1106
BLOB,BLOB,1,431,3,10718,16,1106
BLOB,BLOB,1,432,0,21941,17,1106
BLOB,BLOB,1,433,1,27865,17,1106
BLOB,BLOB,1,434,0,8488,18,1106
BLOB,BLOB,1,435,1,21467,18,1106
BLOB,BLOB,1,436,0,441,19,1106
BLOB,BLOB,1,437,0,8448,20,1106
BLOB,BLOB,1,438,0,170,22,1106
BLOB,BLOB,1,439,1,483,22,1106
BLOB,BLOB,1,440,0,170,23,1106
BLOB,BLOB,1,441,0,441,24,1106
BLOB,BLOB,1,442,0,8728,25,1106
BLOB,BLOB,1,443,0,20640,26,1106
BLOB,BLOB,1,444,0,22654,27,1106
BLOB,BLOB,1,445,0,10606,28,1106
BLOB,BLOB,1,446,0,20353,29,1106
BLOB,BLOB,1,447,0,6842,30,1106
BLOB,BLOB,1,448,0,25501,31,1106
BLOB,BLOB,1,449,0,18256,32,1106
BLOB,BLOB,1,450,0,23033,33,1106
BLOB,BLOB,1,451,0,8093,34,1106
BLOB,BLOB,1,452,1,10718,34,1106
BLOB,BLOB,1,453,0,10501,0,1107
BLOB,BLOB,1,454,1,7352,0,1107
BLOB,BLOB,1,455,2,4655,0,1107
BLOB,BLOB,1,456,0,21267,1,1107
BLOB,BLOB,1,457,1,33032,1,1107
BLOB,BLOB,1,458,0,33633,3,1107
BLOB,BLOB,1,459,1,22685,3,1107
BLOB,BLOB,1,460,2,33776,3,1107
BLOB,BLOB,1,461,3,18560,3,1107
BLOB,BLOB,1,462,4,27559,3,1107
BLOB,BLOB,1,463,0,23670,4,1107
BLOB,BLOB,1,464,1,30969,4,1107
BLOB,BLOB,1,465,2,13393,4,1107
BLOB,BLOB,1,466,0,3556,5,1107
BLOB,BLOB,1,467,1,14163,5,1107
BLOB,BLOB,1,468,0,2576,6,1107
BLOB,BLOB,1,469,0,4149,7,1107
BLOB,BLOB,1,470,1,9356,7,1107
BLOB,BLOB,1,471,0,19427,8,1107
BLOB,BLOB,1,472,0,10324,9,1107
BLOB,BLOB,1,473,1,129,9,1107
BLOB,BLOB,1,474,0,674,10,1107
BLOB,BLOB,1,475,1,27565,10,1107
BLOB,BLOB,1,476,0,14085,11,1107
BLOB,BLOB,1,477,1,7033,11,1107
BLOB,BLOB,1,478,2,14184,11,1107
BLOB,BLOB,1,479,0,19642,12,1107
BLOB,BLOB,1,480,1,27561,12,1107
BLOB,BLOB,1,481,2,25217,12,1107
BLOB,BLOB,1,482,3,13967,12,1107
BLOB,BLOB,1,483,4,13930,12,1107
BLOB,BLOB,1,484,0,14014,13,1107
BLOB,BLOB,1,485,0,22358,14,1107
BLOB,BLOB,1,486,1,27562,14,1107
BLOB,BLOB,1,487,2,19280,14,1107
BLOB,BLOB,1,488,0,12019,15,1107
BLOB,BLOB,1,489,1,14014,15,1107
BLOB,BLOB,1,490,0,3777,16,1107
BLOB,BLOB,1,491,1,9803,16,1107
BLOB,BLOB,1,492,2,30734,16,1107
BLOB,BLOB,1,493,3,10571,16,1107
BLOB,BLOB,1,494,4,15500,16,1107
BLOB,BLOB,1,495,0,1799,17,1107
BLOB,BLOB,1,496,1,14366,17,1107
BLOB,BLOB,1,497,2,3747,17,1107
BLOB,BLOB,1,498,0,3768,18,1107
BLOB,BLOB,1,499,0,33037,19,1107
BLOB,BLOB,1,500,0,14218,20,1107
BLOB,BLOB,1,501,0,33633,22,1107
BLOB,BLOB,1,502,1,13830,22,1107
BLOB,BLOB,1,503,0,33633,23,1107
BLOB,BLOB,1,504,0,33037,24,1107
BLOB,BLOB,1,505,0,21267,25,1107
BLOB,BLOB,1,506,0,33776,26,1107
BLOB,BLOB,1,507,0,21267,27,1107
BLOB,BLOB,1,508,0,33633,28,1107
BLOB,BLOB,1,509,0,674,29,1107
BLOB,BLOB,1,510,0,27565,30,1107
BLOB,BLOB,1,511,0,19642,31,1107
BLOB,BLOB,1,512,0,25217,32,1107
BLOB,BLOB,1,513,0,22358,33,1107
BLOB,BLOB,1,514,0,10571,34,1107
BLOB,BLOB,1,515,0,9325,0,1108
BLOB,BLOB,1,516,1,11097,0,1108
BLOB,BLOB,1,517,0,11075,1,1108
BLOB,BLOB,1,518,1,20204,1,1108
BLOB,BLOB,1,519,2,20834,1,1108
BLOB,BLOB,1,520,3,33944,1,1108
BLOB,BLOB,1,521,0,31490,2,1108
BLOB,BLOB,1,522,1,21863,2,1108
BLOB,BLOB,1,523,0,21588,3,1108
BLOB,BLOB,1,524,1,34464,3,1108
BLOB,BLOB,1,525,2,8479,3,1108
BLOB,BLOB,1,526,3,7653,3,1108
BLOB,BLOB,1,527,4,9320,3,1108
BLOB,BLOB,1,528,5,3724,3,1108
BLOB,BLOB,1,529,0,30714,4,1108
BLOB,BLOB,1,530,1,33956,4,1108
BLOB,BLOB,1,531,2,11037,4,1108
BLOB,BLOB,1,532,3,8478,4,1108
BLOB,BLOB,1,533,0,603,5,1108
BLOB,BLOB,1,534,0,33954,6,1108
BLOB,BLOB,1,535,1,11002,6,1108
BLOB,BLOB,1,536,0,2562,7,1108
BLOB,BLOB,1,537,0,588,8,1108
BLOB,BLOB,1,538,1,33953,8,1108
BLOB,BLOB,1,539,0,593,9,1108
BLOB,BLOB,1,540,1,33952,9,1108
BLOB,BLOB,1,541,0,4024,10,1108
BLOB,BLOB,1,542,1,21360,10,1108
BLOB,BLOB,1,543,0,34462,11,1108
BLOB,BLOB,1,544,1,33960,11,1108
BLOB,BLOB,1,545,0,11031,12,1108
BLOB,BLOB,1,546,1,33959,12,1108
BLOB,BLOB,1,547,2,622,12,1108
BLOB,BLOB,1,548,3,32973,12,1108
BLOB,BLOB,1,549,0,33941,13,1108
BLOB,BLOB,1,550,1,33947,13,1108
BLOB,BLOB,1,551,0,21424,14,1108
BLOB,BLOB,1,552,0,610,15,1108
BLOB,BLOB,1,553,0,19120,16,1108
BLOB,BLOB,1,554,1,21652,16,1108
BLOB,BLOB,1,555,2,33942,16,1108
BLOB,BLOB,1,556,3,11082,16,1108
BLOB,BLOB,1,557,4,560,16,1108
BLOB,BLOB,1,558,0,4743,17,1108
BLOB,BLOB,1,559,1,33945,17,1108
BLOB,BLOB,1,560,0,31000,18,1108
BLOB,BLOB,1,561,1,33949,18,1108
BLOB,BLOB,1,562,0,33958,19,1108
BLOB,BLOB,1,563,0,22947,20,1108
BLOB,BLOB,1,564,0,11037,21,1108
BLOB,BLOB,1,565,0,3724,22,1108
BLOB,BLOB,1,566,1,609,22,1108
BLOB,BLOB,1,567,0,3724,23,1108
BLOB,BLOB,1,568,0,33958,24,1108
BLOB,BLOB,1,569,0,11075,25,1108
BLOB,BLOB,1,570,0,3724,26,1108
BLOB,BLOB,1,571,0,11075,27,1108
BLOB,BLOB,1,572,0,3724,28,1108
BLOB,BLOB,1,573,0,4024,29,1108
BLOB,BLOB,1,574,0,34462,30,1108
BLOB,BLOB,1,575,0,11031,31,1108
BLOB,BLOB,1,576,0,11031,32,1108
BLOB,BLOB,1,577,0,21424,33,1108
BLOB,BLOB,1,578,0,21652,34,1108
BLOB,BLOB,1,579,0,19680,0,1109
BLOB,BLOB,1,580,1,28849,0,1109
