_index,EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCBT,PCMT,PCOL,PCON,PCPH,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PFMS,PFNA,PGHE,PGID,PHAN,PHGT,PHSN,PHTN,PICN,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLDT,PLHT,PLHY,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLTY,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PPOS,PQBS,PRBF,PRBK,PRBS,PROL,PRSE,PSA0,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSB0,PSB1,PSB2,PSB3,PSB4,PSB5,PSB6,PSBO,PSKI,PSPD,PSTA,PSTM,PSTN,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTSA,PTUP,PVCO,PVSB,PVTS,PWGT,PYCF,PYRP,PYWT,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRCT,TRDO,TRDS,TRFB,TRFK,TRFP,TRFY,TRHM,TRIC,TRJR,TRPB,TRSB,TRSC,TRSP,TRSW,TRTA,TRTL,TRTR,TRTS,TRWU,TSPM
10,3,1,80,33,80,91,83,69,44,25,80,0,5532,201,1,1,244,87,1,3,2,62,35,71,ErtzZach_857,10,Zach,70,857,0,77,4,Orange,0,10,85,86,79,22,22,35,21810,59,83,1,0,12,-31,68,74,19,1,Ertz,10,100,10,99,17,36,80,73,85,72,69,15,18,67,857,79,57,62,61,6,4,0,55,55,52,0,12,48,0,0,0,0,0,0,196,0,0,0,0,0,0,196,1,81,90,30,0,74,5790,6,36,10,15,1,87,35,42,10,48,15,1,196,48,90,50,11,0,73,26,0,0,4,1,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,2,0,1,1
11,5,1,87,34,85,99,92,78,40,42,72,0,2579,37,2,1,1955,96,2,1,3,79,55,75,KelceTravis_890,20,Travis,71,890,0,77,34,Cleveland,0,10,97,87,94,32,35,6,11441,59,90,5,0,15,-31,74,83,12,1,Kelce,10,100,20,99,15,42,85,84,93,71,78,14,14,85,890,99,63,66,64,29,4,0,66,69,65,3,12,575,450,0,0,0,0,0,1380,1530,0,0,0,0,0,2910,1,85,97,10,0,79,5920,49,45,53,64,1,94,52,70,47,1025,33,2,2910,1025,90,50,11,11,88,9,0,0,4,0,0,0,0,1,0,2,1,1,0,1,1,0,1,1,0,0,0,2,0,1,1
12,4,1,79,34,75,98,60,30,56,39,67,2,2506,158,3,1,1586,64,2,4,1,25,15,59,JohnsonLane_927,60,Lane,53,927,0,78,42,Groveton,0,10,84,65,82,22,25,10,16946,95,58,3,0,60,-31,95,54,12,1,Johnson,10,100,53,99,29,55,45,55,57,50,65,20,20,33,927,98,93,98,98,39,9,1,94,96,98,2,1,116,146,525,0,0,0,0,1356,1440,1241,0,0,0,0,4037,2,77,88,1,0,91,5902,50,60,54,59,1,91,56,65,52,787,41,3,4037,787,165,50,11,9,46,13,0,0,4,1,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,2,0,0,1
13,6,0,65,34,65,77,15,8,25,12,60,3,4025,206,0,1,22,54,0,19,1,5,30,53,PughJustin_963,10,Justin,26,963,0,77,37,Holland,0,10,84,67,71,23,21,11,31666,77,15,0,0,23,-31,82,10,15,1,Pugh,10,100,10,99,10,28,20,10,15,10,35,23,20,5,963,71,67,70,73,6,6,0,73,75,77,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,86,1,0,87,6029,6,35,6,6,1,74,19,16,6,0,15,0,0,0,151,50,11,0,15,1009,0,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,2,0,0,1
14,5,1,75,33,67,94,30,15,25,12,62,3,147,12,3,0,1056,65,3,13,3,26,81,57,ArmsteadTerron_964,10,Terron,278,964,0,77,12,Cahokia,0,10,80,72,83,25,25,10,47923,84,56,5,0,20,-31,85,35,15,1,Armstead,10,100,10,99,17,24,45,33,53,25,35,19,20,34,964,92,93,93,93,6,5,0,90,88,87,2,5,50,1430,1432,0,0,0,0,1006,782,782,0,0,0,0,2570,2,77,87,25,0,89,5661,6,37,6,6,1,86,30,30,6,2912,16,3,2570,2912,145,50,11,2,44,12,0,0,4,1,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,2,0,0,1
15,1,0,71,27,62,54,10,5,24,15,20,1,4234,242,1,0,23,18,1,511,63,15,30,54,RomoJohnParker_1069,10,John Parker,34,1069,0,71,9,Peachtree City,0,10,85,11,49,74,93,10,50105,16,15,0,0,13,-31,16,10,11,1,Romo,10,100,10,99,17,29,15,10,15,10,10,45,17,15,1069,69,17,17,17,15,19,0,16,16,16,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75,80,50,0,38,10436,12,26,15,32,1,83,45,26,15,23,16,1,0,23,15,50,1,0,15,1009,0,0,4,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1
16,6,0,76,24,59,74,30,20,30,7,25,2,5214,165,4,0,104,35,4,4,3,21,62,49,WallaceCaedan_1070,45,Caedan,147,1070,0,77,29,Robbinsville,0,10,89,70,76,15,17,10,37308,77,21,0,22,45,-31,82,16,11,1,Wallace,12,100,50,99,20,27,25,31,22,15,32,20,11,22,1070,68,70,71,72,7,9,0,72,75,72,0,15,75,101,127,153,0,0,0,29,29,29,29,0,0,0,116,2,67,85,80,0,87,10282,11,44,12,13,1,89,26,21,6,456,7,4,116,456,154,50,0,0,24,22,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
17,6,0,74,22,69,69,30,20,30,12,32,2,9047,262,4,0,101,37,4,11,3,14,15,55,AmegadjieKiran_1071,21,Kiran,269,1071,0,77,12,Hinsdale,0,10,91,72,72,25,25,10,2238,82,34,0,1,35,-31,82,15,15,1,Amegadjie,11,100,36,99,20,27,25,34,32,15,40,20,14,21,1071,68,70,72,72,13,5,0,73,73,72,0,15,75,100,116,151,0,0,0,26,26,26,26,0,0,0,104,1,70,83,1,0,88,9999,19,33,21,25,1,79,26,24,12,442,11,4,104,442,166,50,0,0,24,1,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
18,5,0,88,22,82,66,69,67,37,12,75,2,9100,85,4,0,100,80,4,18,3,48,44,75,ReimanTip_1072,17,Tip,24,1072,0,76,40,Rapid City,0,10,88,87,84,19,21,18,35901,62,78,0,7,41,-31,64,62,14,1,Reiman,17,100,17,99,17,34,61,62,73,58,66,15,21,53,1072,68,58,62,62,6,4,0,63,66,67,0,11,75,100,125,150,0,0,0,25,25,25,25,0,0,0,100,1,84,81,10,0,77,10225,6,34,10,15,1,87,18,28,10,450,15,4,100,450,113,50,0,0,60,7,0,0,4,0,1,0,0,1,0,2,1,1,1,1,1,0,2,0,0,0,0,2,0,1,1
19,6,0,64,35,55,75,15,10,74,12,40,3,2489,71,1,0,300,30,1,20,3,3,84,43,JenkinsJohn_1073,54,John,266,1073,0,75,6,Meriden,0,10,84,95,63,17,23,10,23345,35,15,0,0,81,-31,86,10,10,1,Jenkins,10,100,72,99,76,79,15,25,15,10,45,28,15,7,1073,74,45,45,45,6,12,0,45,45,45,0,5,79,0,0,0,0,0,0,221,0,0,0,0,0,0,221,2,71,71,30,0,90,5895,6,88,6,6,1,76,18,25,6,79,10,1,221,79,167,50,11,1,15,23,0,1,4,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
20,3,0,93,24,82,61,70,65,43,21,57,0,2512,21,4,0,80,77,4,27,3,10,65,86,JonesElijah_1074,35,Elijah,227,1074,0,74,31,Harlem,0,10,88,28,96,10,11,35,16444,14,65,0,7,63,-31,55,71,73,1,Jones,74,100,29,99,60,74,15,47,72,66,33,38,67,16,1074,71,19,26,15,14,16,0,26,34,25,0,3,75,85,98,103,0,0,0,5,0,0,0,0,0,0,5,1,91,85,35,0,48,10132,15,65,19,21,1,84,21,23,23,361,12,4,5,361,24,50,0,0,23,7,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,2,0,0,1
21,5,0,90,23,78,72,52,34,65,22,27,2,2379,0,4,0,97,30,4,31,3,5,22,72,HuntJalyx_1076,71,Jalyx,221,1076,0,75,8,Debary,0,10,90,58,89,12,14,10,26941,25,45,0,13,72,-31,74,48,56,1,Hunt,46,100,74,99,71,79,15,45,47,45,44,31,58,7,1076,71,40,40,40,6,15,0,45,45,45,0,3,75,99,124,148,0,0,0,22,22,22,22,0,0,0,88,1,84,78,10,0,73,10112,6,75,6,6,1,83,19,30,6,446,12,4,88,446,92,50,0,0,10,13,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1
22,1,0,90,23,81,70,65,63,60,15,61,0,5346,161,4,0,227,68,4,11,4,18,83,85,WilliamsEvan_1080,54,Evan,77,1080,0,71,4,Los Gatos,0,10,90,33,94,23,25,50,58173,35,56,0,20,80,-31,63,70,74,1,Williams,66,100,45,99,72,80,30,46,64,65,51,43,72,23,1080,73,22,25,25,15,17,0,30,30,30,0,3,65,78,103,150,0,0,0,162,162,162,0,0,0,0,486,1,86,85,10,0,62,10297,10,71,10,15,1,88,29,25,15,396,16,4,486,396,40,50,0,0,25,20,0,0,3,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0,0,2,0,0,1
23,1,0,92,23,85,57,65,62,52,10,52,0,4161,55,4,0,94,55,4,12,4,26,84,86,RichardsonDecamerion_1082,33,Decamerion,162,1082,0,74,17,Cullen,0,10,90,25,84,12,11,59,33085,14,47,0,23,62,-31,51,71,66,1,Richardson,75,100,26,99,55,75,33,34,50,69,35,39,70,31,1082,69,22,31,23,13,16,0,25,35,24,0,3,75,91,103,114,0,0,0,19,19,19,19,0,0,0,76,1,94,87,25,0,52,10227,15,77,22,23,1,88,35,24,16,383,15,4,76,383,35,50,0,0,36,23,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1
24,6,0,79,24,61,74,24,10,35,12,20,3,6727,178,4,0,93,26,4,19,4,5,75,61,McCormickMason_1083,20,Mason,54,1083,0,77,40,Sioux Falls,0,10,90,66,85,19,19,10,51772,79,15,0,29,35,-31,84,30,10,1,McCormick,10,100,30,99,24,32,11,36,15,25,33,23,10,7,1083,74,73,76,78,8,8,0,74,75,76,0,5,75,91,103,114,0,0,0,18,18,18,18,0,0,0,72,2,70,79,0,0,90,10170,6,37,7,9,1,87,25,28,6,383,12,4,72,383,155,50,0,0,10,29,0,0,4,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1
25,6,0,75,23,50,49,38,37,39,17,44,2,8904,445,4,0,63,40,4,26,4,22,50,52,ManuGiovanni_1084,23,Giovanni,119,1084,0,79,50,Pitt Meadows,0,10,89,59,81,15,21,10,53309,84,39,0,19,49,-31,82,23,7,1,Manu,8,100,41,99,16,42,28,51,35,21,45,20,7,23,1084,67,65,69,74,6,5,0,75,76,77,0,15,61,78,90,101,0,0,0,2,2,2,2,0,0,0,8,2,70,79,10,0,86,10414,9,43,12,15,1,87,24,29,6,330,15,4,8,330,194,50,0,0,24,19,0,0,4,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1
26,1,0,93,22,85,79,61,66,43,10,60,0,4741,112,4,0,84,79,4,2,5,11,71,88,StillTarheeb_1087,31,Tarheeb,224,1087,0,73,29,Sicklerville,0,10,91,29,90,17,18,80,19134,15,64,0,8,55,-31,57,72,74,1,Still,80,100,26,99,79,71,27,32,66,66,26,40,84,16,1087,80,8,10,9,6,16,0,13,15,14,0,3,75,91,103,114,0,0,0,9,9,9,9,0,0,0,36,1,89,85,20,0,56,10255,6,60,10,11,1,76,26,27,11,383,11,4,36,383,36,50,0,0,26,8,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1
27,6,0,66,32,61,87,25,10,73,12,45,3,2085,157,1,0,196,30,1,17,2,2,90,52,HankinsJohnathan_1088,51,Johnathan,186,1088,0,74,21,Dearborn Heights,0,10,89,97,74,10,11,10,61748,19,16,0,0,65,-31,90,11,20,1,Hankins,10,100,71,99,86,82,12,40,15,15,35,27,29,3,1088,72,45,45,45,6,11,0,45,45,45,0,5,166,0,0,0,0,0,0,30,0,0,0,0,0,0,30,2,74,79,15,0,90,5846,6,82,6,6,1,76,9,10,6,166,16,1,30,166,160,50,11,0,10,28,0,1,4,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
28,3,0,90,22,83,73,43,35,60,12,61,2,9049,123,4,0,63,76,4,16,5,7,80,71,CarliesJaylon_1089,62,Jaylon,157,1089,0,75,8,Orlando,0,10,93,57,83,13,14,10,27709,26,64,0,10,86,-31,68,56,60,1,Carlies,70,100,51,99,69,78,12,42,67,55,45,33,70,8,1089,70,35,35,35,8,15,0,40,45,40,0,2,61,78,90,101,0,0,0,2,2,2,2,0,0,0,8,1,89,82,20,0,72,10028,6,77,15,16,1,85,35,22,9,330,8,4,8,330,67,50,0,0,15,10,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,0,2,1,0,0,0,0,0,0,1
29,1,0,93,23,85,59,65,59,40,12,57,0,6738,160,4,0,63,72,4,18,5,31,72,80,PrinceDeantre_1090,29,De'Antre,224,1090,0,72,23,Charleston,0,10,92,24,89,13,21,60,25788,15,58,0,17,67,-31,42,72,64,1,Prince,71,100,22,99,61,72,29,30,61,66,32,40,67,40,1090,67,22,31,23,6,16,0,24,30,25,0,3,61,78,90,101,0,0,0,2,2,2,2,0,0,0,8,1,93,85,10,0,53,10214,6,63,8,10,1,89,36,27,9,330,17,4,8,330,23,50,0,0,42,17,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1
30,3,0,91,24,89,60,62,59,66,26,62,0,2079,253,4,0,63,64,4,26,5,31,87,85,HamptonDominique_1091,30,Dominique,287,1091,0,75,9,Atlanta,0,10,92,45,92,21,25,45,52028,42,59,0,26,89,-31,67,71,63,1,Hampton,73,100,40,99,59,78,33,57,60,66,59,34,68,30,1091,67,25,31,29,9,15,0,40,41,39,0,13,61,78,90,101,0,0,0,2,2,2,2,0,0,0,8,1,91,83,15,0,70,10096,12,76,13,19,1,91,35,27,15,330,8,4,8,330,60,50,0,0,35,26,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1
31,6,0,76,23,67,72,10,5,21,9,25,3,3458,53,4,0,63,27,4,28,5,5,60,57,MonkJacob_1092,21,Jacob,273,1092,0,75,32,Clayton,0,15,94,62,73,19,25,10,8893,80,22,0,20,39,-31,80,10,11,1,Monk,9,100,23,99,26,36,12,10,26,10,15,18,10,8,1092,65,69,70,68,9,7,0,73,69,65,0,5,61,78,90,101,0,0,0,2,2,2,2,0,0,0,8,2,69,84,1,0,83,10185,10,28,11,15,1,85,30,25,8,330,9,4,8,330,148,50,0,0,15,20,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
32,3,0,92,24,81,74,78,73,32,25,69,0,3337,167,4,0,81,82,4,35,5,70,55,80,MeansBub_1095,10,Bub,282,1095,0,74,27,Las Vegas,0,10,90,16,90,15,19,32,6460,32,80,0,27,34,-31,47,80,20,1,Means,15,100,10,99,21,33,68,58,81,70,54,10,29,71,1095,70,31,35,23,6,3,0,40,47,33,0,13,75,91,103,114,0,0,0,6,6,6,6,0,0,0,24,1,91,81,20,0,67,10422,15,36,15,20,1,82,35,40,15,383,16,4,24,383,55,50,0,0,73,27,0,0,3,0,0,1,0,1,0,2,1,0,1,1,1,0,2,0,0,0,0,2,0,1,1
33,1,0,94,22,83,60,66,57,54,23,57,0,9106,314,4,0,81,73,4,41,5,16,60,81,StiggersQwantez_1096,34,Qwan'tez,251,1096,0,72,9,Atlanta,0,10,92,37,86,15,15,55,16446,32,61,0,18,68,-31,56,69,67,1,Stiggers,60,100,26,99,62,70,24,45,64,65,34,40,69,21,1096,67,24,30,25,15,16,0,31,35,30,0,3,75,91,103,114,0,0,0,6,6,6,6,0,0,0,24,1,91,84,15,0,60,0,15,64,18,22,1,83,36,31,21,383,22,4,24,383,37,50,1,0,24,18,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,3
34,4,0,73,24,78,70,26,20,72,12,38,2,2843,90,4,0,80,40,4,2,6,3,55,69,LeeLogan_1097,68,Logan,36,1097,0,77,12,Orion,0,10,90,61,77,10,16,10,25276,18,24,0,29,81,-31,79,19,17,1,Lee,21,100,73,99,68,83,13,30,23,14,32,26,26,7,1097,69,45,45,45,6,10,0,45,45,45,0,5,75,91,103,114,0,0,0,5,5,5,5,0,0,0,20,2,71,84,15,0,83,10154,6,81,6,6,1,88,22,23,6,383,10,4,20,383,126,50,0,0,12,29,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1
35,1,0,90,23,79,68,75,65,21,29,72,0,5234,85,4,0,63,83,4,11,6,68,43,82,WashingtonCasey_1098,10,Casey,124,1098,0,72,42,Round Rock,0,10,87,82,91,11,16,43,12605,25,76,0,14,19,-31,44,79,11,1,Washington,13,100,10,99,16,26,66,58,79,71,42,10,16,69,1098,66,18,30,22,27,3,0,33,46,26,0,11,61,78,90,101,0,0,0,2,2,2,2,0,0,0,8,1,90,82,15,0,60,0,29,21,32,40,1,82,27,55,36,330,30,4,8,330,40,50,0,0,70,14,0,0,4,0,0,0,0,0,0,2,1,0,1,1,1,0,2,0,0,0,0,2,0,1,1
36,5,0,89,23,78,63,57,52,63,12,55,2,2253,161,4,0,80,64,4,12,6,5,87,75,HillJamal_1104,59,Jamal,284,1104,0,72,9,Rex,1,10,90,56,80,11,18,35,8637,35,56,0,32,77,-31,62,65,60,1,Hill,55,100,51,99,61,79,20,45,60,60,48,33,69,10,1104,66,35,35,35,11,15,0,40,45,40,0,3,75,91,103,114,0,0,0,5,5,5,5,0,0,0,20,1,91,81,30,0,65,10396,21,78,23,24,1,83,14,28,14,383,13,4,20,383,66,50,0,0,15,32,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
37,3,0,94,24,80,63,78,75,20,25,66,0,3783,225,1,0,23,80,1,15,6,68,63,81,PalmerTejhaun_1106,10,Tejhaun,232,1106,0,74,48,Milwaukee,0,10,89,83,84,15,19,34,39484,30,77,0,7,26,-31,45,76,18,1,Palmer,15,100,10,99,16,28,67,56,79,70,61,10,16,69,1106,66,19,23,15,6,3,0,39,42,33,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,80,10,0,69,10435,15,29,15,20,1,85,35,25,15,23,16,1,0,23,50,50,0,0,70,1009,0,0,3,0,0,0,0,1,0,2,1,0,1,1,1,0,2,0,0,0,0,2,0,1,1
38,3,0,90,22,87,59,69,63,59,26,58,0,5244,215,4,0,84,61,4,19,6,28,75,87,WattsRyan_1107,39,Ryan,223,1107,0,75,42,Little Elm,0,10,89,29,94,15,14,54,15677,28,56,0,29,71,-31,64,68,67,1,Watts,75,100,44,99,57,73,37,48,55,63,54,39,62,33,1107,67,23,27,21,12,16,0,31,35,31,0,13,66,87,103,119,0,0,0,18,14,9,5,0,0,0,46,1,88,85,15,0,58,10289,13,74,14,20,1,80,20,21,22,375,13,4,46,375,52,50,0,0,35,29,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1
