_index,ASNM,BTYP,CFNM,CJNO,CLNM,CNID,COMB,GENR,GNHD,HINC,LOUT,SKNT,USKT,WLBS,_compressed_header
1087,StillTarheeb_1087,0,Tarheeb,29,Still,1087,0,gen_7_B_N_013,158,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,196,8e8da903
1088,HankinsJohnathan_1088,3,Johnathan,97,Hankins,1088,0,gen_6_H_BD_01,186,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,320,8e8da903
1089,CarliesJaylon_1089,2,Jaylon,57,Carlies,1089,0,gen_6_B_G_03,233,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,227,8e8da903
1090,PrinceDeantre_1090,0,Deantre,24,Prince,1090,0,gen_7_B_N_013,200,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,183,8e8da903
1091,HamptonDominique_1091,0,Dominique,45,Hampton,1091,0,gen_7_T_G_007,287,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,220,8e8da903
1092,MonkJacob_1092,3,Jacob,62,Monk,1092,0,gen_7_M_BD_02,268,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,308,8e8da903
1095,MeansBub_1095,0,Bub,16,Means,1095,0,gen_7_M_N_005,228,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,55,8e8da903
1096,StiggersQwantez_1096,0,Qwan'tez,37,Stiggers,1096,0,gen_7_BMH_S_008,251,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,197,8e8da903
1097,LeeLogan_1097,2,Logan,91,Lee,1097,0,gen_2_B_N_006,284,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,286,8e8da903
1098,WashingtonCasey_1098,0,Casey,82,Washington,1098,0,gen_4_T_N_007,183,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,200,8e8da903
1104,HillJamal_1104,2,Jamal,56,Hill,1104,0,gen_7_M_N_024,104,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,66,8e8da903
1106,PalmerTejhaun_1106,0,Tejhaun,83,Palmer,1106,0,gen_7_B_N_07,219,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,210,8e8da903
1107,WattsRyan_1107,0,Ryan,29,Watts,1107,0,gen_7_B_N_012,249,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,212,8e8da903
1108,BoydKhristian_1108,3,Khristian,97,Boyd,1108,0,gen_5_H_BD_02,267,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,320,8e8da903
1116,AbrahamMicah_1116,0,Micah,33,Abraham,1116,0,gen_7_B_B_009,209,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,185,8e8da903
1118,GloverTravis_1118,2,Travis,79,Glover,1118,0,gen_7_H_B_010,9,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,317,8e8da903
1119,GrableTylan_1119,2,Tylan,68,Grable,1119,0,gen_6_H_BD_01,261,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,309,8e8da903
1120,JerrellMichael_1120,3,Michael,65,Jerrell,1120,0,gen_7_H_G_02,223,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,294,8e8da903
1122,LaubeDylan_1122,0,Dylan,23,Laube,1122,0,gen_3_B_N_007,9,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,208,8e8da903
1124,FlournoyRyan_1124,0,Ryan,80,Flournoy,1124,0,gen_7_H_BD_03,244,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,200,8e8da903
1125,KingstonJarrett_1125,2,Jarrett,61,Kingston,1125,0,gen_2_H_GM_004,53,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,308,8e8da903
1126,KleinElijah_1126,2,Elijah,79,Klein,1126,0,gen_2_M_B_02,57,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,319,8e8da903
1130,ClaytonTravis_1130,2,Travis,67,Clayton,1130,0,gen_5_B_N_01,180,79,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,301,8e8da903
1134,JeanBaptisteJavontae_1134,2,Javontae,90,Jean-Baptiste,1134,0,gen_7_B_N_009,261,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,260,8e8da903
1137,AnthonyDaijahn_1137,0,Daijahn,33,Anthony,1137,0,gen_6_B_G_04,177,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,205,8e8da903
1138,DavisJaden_1138,0,Jaden,39,Davis,1138,0,gen_7_B_N_013,212,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,182,8e8da903
1142,HardenMyles_1142,0,Myles,26,Harden,1142,0,gen_6_B_G_03,195,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,195,8e8da903
1149,SamacNick_1149,3,Nick,61,Samac,1149,0,gen_2_H_G_01,15,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,307,8e8da903
1150,DevonshireMJ_1150,0,MJ,26,Devonshire,1150,0,gen_7_T_G_007,158,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,179,8e8da903
1153,RodriguezLeviDrake_1153,2,Levi Drake,50,Rodriguez,1153,0,gen_4_H_N_001,85,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",3,-4685696,290,8e8da903
1157,LauluJonah_1157,3,Jonah,96,Laulu,1157,0,gen_5_H_BD_01,9,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,292,8e8da903
1160,VeleDevaughn_1160,0,Devaughn,17,Vele,1160,0,gen_4_B_G_003,284,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,210,8e8da903
1161,LeeMatt_1161,3,Matt,62,Lee,1161,0,gen_2_M_N_04,53,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,310,8e8da903
1163,ByrdSolomon_1163,2,Solomon,50,Byrd,1163,0,gen_7_B_G_007,162,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,255,8e8da903
1164,EzirimJosiah_1164,2,Josiah,72,Ezirim,1164,0,gen_7_H_G_008,9,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,329,8e8da903
1165,BriggsJowon_1165,3,Jowon,53,Briggs,1165,0,gen_7_H_G_008,266,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,313,8e8da903
1166,CulpDevin_1166,2,Devin,82,Culp,1166,0,gen_7_M_BD_02,9,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,237,8e8da903
1169,HansonCJ_1169,3,C.J.,61,Hanson,1169,0,gen_2_H_MB_012,19,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,140,8e8da903
1170,KaneSanoussi_1170,0,Sanoussi,28,Kane,1170,0,gen_7_B_N_017,224,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,207,8e8da903
1171,LevestonKT_1171,3,KT,66,Leveston,1171,0,gen_7_M_N_024,248,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,337,8e8da903
1172,GargiuloNick_1172,3,Nick,66,Gargiulo,1172,0,gen_2_H_G_01,15,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,310,8e8da903
1173,KeyJaylen_1173,0,Jaylen,33,Key,1173,0,gen_7_B_N_011,237,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,210,8e8da903
1210,EvansJoe_1210,2,Joe,48,Evans,1210,0,gen_2_B_B_005,36,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,246,8e8da903
1212,JonesEmory_1212,0,Emory,10,Jones,1212,0,gen_7_M_N_024,275,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,203,8e8da903
1223,WallaceJosh_1223,0,Josh,30,Wallace,1223,0,gen_7_BMH_S_008,281,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,189,8e8da903
1226,CooperJrBump_1226,0,Bump,31,Cooper Jr,1226,0,gen_7_BMH_MG_008,237,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,186,8e8da903
1228,GriffinTulu_1228,0,Tulu,81,Griffin,1228,0,gen_7_M_N_024,249,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,181,8e8da903
1238,BatesJake_1238,0,Jake,39,Bates,1238,0,gen_2_BMH_S_004,5,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,202,8e8da903
1239,HaggardLuke_1239,2,Luke,72,Haggard,1239,0,gen_2_H_GM_004,62,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,305,8e8da903
1240,JohanningJake_1240,3,Jake,63,Johanning,1240,0,gen_2_B_B_004,53,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,290,8e8da903
1242,SheppardJaQuan_1242,0,JaQuan,46,Sheppard,1242,0,gen_7_T_G_007,9,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,199,8e8da903
1243,StoneJrRon_1243,2,Ron,76,Stone Jr,1243,0,gen_5_B_N_01,138,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,247,8e8da903
1245,LovettSrFabien_1245,3,Fabien,99,Lovett Sr,1245,0,gen_6_H_BD_01,190,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,316,8e8da903
1247,WoodJulius_1247,0,Julius,24,Wood,1247,0,gen_7_BMT_MG_002,184,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,33,8e8da903
1248,IngramJaMarcus_1248,0,Ja'Marcus,46,Ingram,1248,0,gen_7_BMH_GS_005,245,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,185,8e8da903
1251,RolandWallaceChristian_1251,0,Chris,30,Roland-Wallace,1251,0,gen_7_B_G_005,162,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,202,8e8da903
1253,BensonLuke_1253,2,Luke,41,Benson,1253,0,gen_2_H_BD_03,23,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,241,8e8da903
1259,DentAkeem_1259,0,Akeem,46,Dent,1259,0,gen_7_B_G_0010,244,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,203,8e8da903
1260,HeinsZach_1260,2,Zach,49,Heins,1260,0,gen_1_B_G_01,51,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,259,8e8da903
1263,BarnhartKarsen_1263,3,Karsen,61,Barnhart,1263,0,gen_2_H_G_01,16,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,306,8e8da903
1265,HarperThomas_1265,0,Thomas,34,Harper,1265,0,gen_7_T_G_007,227,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,189,8e8da903
1266,WaltonZamari_1266,0,Zamari,39,Walton,1266,0,gen_7_M_BD_01,210,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,188,8e8da903
1267,MasonMicheal_1267,2,Micheal,78,Mason,1267,0,gen_6_N_MG_009,9,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,276,8e8da903
1268,PatrickWillis_1268,3,Willis,66,Patrick,1268,0,gen_7_BMH_GS_005,268,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,319,8e8da903
1272,NjongmetaMaema_1272,2,Maema,45,Njongmeta,1272,0,gen_7_T_G_007,286,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,230,8e8da903
1275,GrierJrAntonio_1275,2,Antonio,48,Grier Jr,1275,0,gen_6_H_MS_01,9,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,230,8e8da903
1276,WisdomRashad_1276,0,Rashad,38,Wisdom,1276,0,gen_6_B_G_03,9,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,203,8e8da903
1277,BanksMarcus_1277,0,Marcus,39,Banks,1277,0,gen_7_M_N_005,282,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,190,8e8da903
1278,JohnsonKameron_1278,0,Kameron,19,Johnson,1278,0,gen_7_BMH_MG_008,271,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,184,8e8da903
1281,McDonaldChris_1281,0,Chris,36,McDonald,1281,0,gen_7_T_G_007,177,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,189,8e8da903
1282,CulpepperJudge_1282,2,Judge,59,Culpepper,1282,0,gen_2_H_B_005,13,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,290,8e8da903
1283,DelgadoXavier_1283,3,Xavier,60,Delgado,1283,0,gen_4_H_BD_01,131,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,321,8e8da903
1284,DeLoachKalen_1284,2,Kalen,46,DeLoach,1284,0,gen_7_B_N_07,227,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,216,8e8da903
1290,FunderburkTyrek_1290,0,Tyrek,24,Funderburk,1290,0,gen_5_B_BD_03,200,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,186,8e8da903
1317,AndreessenJoe_1317,2,Joe,44,Andreessen,1317,0,gen_2_M_S_011,71,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,240,8e8da903
1325,CokerJalen_1325,0,Jalen,18,Coker,1325,0,gen_4_B_N_004,177,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,210,8e8da903
1326,SheriffJamie_1326,2,Jamie,43,Sheriff,1326,0,gen_7_B_G_0010,286,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,254,8e8da903
1328,BartholomewShemar_1328,0,Shemar,27,Bartholomew,1328,0,gen_6_B_N_0011,272,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,200,8e8da903
1329,MurrayBill_1329,3,Bill,60,Murray,1329,0,gen_2_H_G_01,56,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,307,8e8da903
1330,RehkowRyan_1330,1,Ryan,8,Rehkow,1330,0,gen_2_BMH_S_002,34,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,235,8e8da903
1332,StephensJrJohn_1332,2,John,81,Stephens Jr,1332,0,gen_7_B_N_012,219,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,221,8e8da903
1333,CrumFrank_1333,2,Frank,73,Crum,1333,0,gen_1_M_N_02,16,80,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,315,8e8da903
