_parent_table_path,_parent_table_name,_parent_record_index,_index,CGID,CYID,DGID,DISN,IMIL,SGID,SID1,TAFL,TALG,TAPP,TASN,TB2B,TB2G,TB2R,TBCB,TBCG,TBCR,TCRP,TDAN,TDNA,TDPB,TFLO,TGID,THAR,THPS,THSC,TLGO,TLNA,TLRR,TLSA,TMAN,TMHO,TMHT,TMID,TMNC,TMOT,TMSO,TMST,TNCI,TOID,TOPB,TORD,TPFN,TPLE,TRDB,TRDE,TRDL,TRLB,TROF,TROL,TROV,TRQB,TRRB,TRST,TRV1,TRV2,TRV3,TSNA,TSNS,TTPC,TUAN,TUFP,TUHO,TVIS,TWRR,TYSE,TYSF
BLOB,BLOB,1,10,6,92,2,7,0,510,1023,0,10,0,BALLST,0,0,0,48,12,186,13,teamdb_ball,Ball State,508,0,1110,133,0,1,10,Ball State,0,10,BALL,#WeFly,#ChirpChirp,87,Cardinals,We Fly,We Fly,Chirp Chirp,87,1110,210,10,BALL,7,73,71,74,70,72,73,72,73,76,76,1174,1159,1206,BALL,115,129,BALLST,BALL,15,0,76,1918,1924
BLOB,BLOB,1,11,2,93,17,7,0,511,1023,0,11,0,BAYLOR,29,188,255,53,71,21,14,teamdb_bay,Baylor,514,0,1111,45,0,1,11,Baylor,0,11,BAY,#SicEm,#BaylorLine,88,Bears,"Pro Ecclesia, Pro Texana",Sic Em,Baylor Line,88,1111,211,11,BAY,12,79,76,75,70,78,72,77,83,82,78,1199,1205,1203,BAY,72,46,BAYLOR,BAY,15,0,81,1845,1899
BLOB,BLOB,1,12,8,95,0,7,0,512,1023,0,12,0,BOISES,36,75,240,141,70,25,16,teamdb_boise,Boise State,523,0,1112,67,0,1,12,Boise State,2,12,BSU,#BleedBlue,#BuiltDifferent,89,Broncos,Splendor Sine Occasu,Bleed Blue,Built Different,89,1112,212,12,BSU,1,76,76,80,69,78,72,77,85,86,86,1133,1169,1227,BOI,48,24,BOISES,BSU,15,0,77,1932,1933
BLOB,BLOB,1,13,0,96,6,7,0,513,1023,0,13,4,BOSTON,166,204,219,51,35,140,17,teamdb_bc,Boston College,505,0,1113,62,0,1,13,Boston College,0,13,BC,#ForBoston,#GoEagles,90,Eagles,Ever to Excel,For Boston,Go Eagles,90,1113,213,13,BC,9,82,78,78,72,78,75,78,76,86,83,1198,1176,1121,BC,82,67,BOSTON,BC,15,0,76,1863,1893
BLOB,BLOB,1,14,6,97,2,7,0,514,1023,0,14,0,BOWLGR,29,44,79,0,80,253,18,teamdb_bgsu,Bowling Green,523,0,1114,120,0,1,14,Bowling Green,0,14,BGSU,#AyZiggy,#TalonsUp,91,Falcons,A public university for the public good,Ay Ziggy,Talons Up,77,1114,214,14,BGSU,4,73,71,75,67,70,67,71,74,78,78,1206,1148,1177,BGSU,114,111,BOWLGR,BGSU,15,0,72,1910,1919
BLOB,BLOB,1,15,6,99,2,7,0,515,1023,0,15,0,BUFFAL,255,255,255,185,110,0,20,teamdb_buff,Buffalo,524,0,1115,114,0,1,15,Buffalo,0,15,BUFF,#UBhornsUP,#UBuffalo,94,Bulls,Mens Sana in Corpore Sano,UB Horns UP,UBuffalo,91,1115,215,15,BUFF,7,78,72,71,67,70,70,71,69,76,81,1214,1177,1200,BUFF,118,114,BUFFAL,BUFF,15,0,77,1846,1894
BLOB,BLOB,1,16,2,101,17,7,0,516,1023,0,16,0,BYUXXX,255,255,255,145,75,15,21,teamdb_byu,BYU,529,0,1116,25,0,1,16,BYU,0,16,BYU,#GoCougs,#RiseandRoar,95,Cougars,Enter to learn; go forth to serve,Go Cougs,Rise and Roar,92,1116,216,16,BYU,11,86,85,80,82,86,84,85,84,92,82,1218,1219,1232,BYU,13,29,BYUXXX,BYU,15,0,81,1875,1922
BLOB,BLOB,1,17,0,102,6,7,0,517,1023,0,17,0,CALXXX,47,197,255,64,31,9,22,teamdb_cal,California,504,0,1117,53,0,1,17,California,0,17,CAL,#GoBears,#Blue&Gold,99,Golden Bears,Fiat Lux,Go Bears,Blue & Gold,93,1117,217,17,CAL,6,80,77,77,71,83,76,80,85,79,77,1197,1212,1216,CAL,39,51,CALXXX,CAL,15,0,88,1868,1886
BLOB,BLOB,1,18,6,103,2,7,0,518,1023,0,18,1,CMICHI,47,200,255,51,0,106,25,teamdb_cmu,C. Michigan,521,0,1118,125,0,1,18,Central Michigan,0,18,0,#FireUpChips,#Maroon&Gold,0,Chippewas,"Sapientia, Virtus, Amicitia",Fire Up Chips,Maroon & Gold,94,1118,218,18,CMU,6,72,70,72,70,72,71,71,73,76,83,1127,1230,1206,CMU,84,124,CMICHI,CMU,15,0,78,1892,1896
BLOB,BLOB,1,19,3,11,16,0,0,519,1023,1,19,0,CHARLO,103,151,169,64,87,0,0,teamdb_charlotte,Charlotte,526,1,1119,129,0,1,19,Charlotte,0,19,CHAR,#GoldStandard,#PicksUp,102,49ers,0,Gold Standard,Picks Up,95,1119,219,19,CHAR,10,72,70,70,71,73,72,72,74,77,78,1103,1181,1128,CLT,119,105,CHARLO,CHAR,0,1,80,1946,2013
BLOB,BLOB,1,20,2,112,17,7,0,520,1023,0,20,0,CINCIN,46,32,208,32,31,35,23,teamdb_cin,Cincinnati,508,0,1120,66,0,1,20,Cincinnati,0,20,CIN,#GoBearcats,#Red&Black,103,Bearcats,Juncta Juvant,Go Bearcats,Red & Black,96,1120,220,20,CIN,13,82,76,73,71,80,76,78,78,83,78,1211,1153,1159,CIN,44,38,CINCIN,CIN,15,0,81,1819,1885
BLOB,BLOB,1,21,0,113,6,7,0,521,1023,0,21,0,clemson,255,255,255,0,102,245,24,teamdb_clemson,Clemson,508,0,1121,14,1,1,21,Clemson,1,21,CLEM,#ALLIN,#DeathValley,104,Tigers,Who shall separate us now?,ALL IN,Death Valley,86,1121,221,21,CLEM,6,84,85,84,81,80,76,81,76,82,86,1195,1132,1137,CLEM,31,6,clemson,CLEM,15,0,87,1889,1896
BLOB,BLOB,1,22,10,413,14,0,0,522,1023,1,22,2,COACAR,79,109,143,120,112,0,26,teamdb_ccu,C. Carolina,525,1,1122,128,0,1,22,Coastal Carolina,0,22,CCAR,#ChantsUp,#TeamSwarm,105,Chanticleers,Ex Libertate Veritas,Chants Up,Teal Swarm,97,1122,222,22,CCAR,2,73,72,75,71,72,72,72,71,78,78,1150,1103,1135,CCAR,112,70,COACAR,CCAR,0,1,77,1954,2003
BLOB,BLOB,1,23,2,114,17,7,0,523,1023,0,23,0,COLORA,131,183,197,32,31,35,26,teamdb_cu,Colorado,524,0,1123,44,0,1,23,Colorado,0,23,COLO,#GoBuffs,#Gold&Black,106,Buffaloes,Let Your Light Shine,Go Buffs,Gold & Black,98,1123,224,23,COLO,11,83,82,77,83,81,76,81,79,82,80,1124,1218,1168,CU,80,64,COLORA,COLO,15,0,88,1876,1890
BLOB,BLOB,1,24,8,46,0,7,0,524,1023,0,24,2,COLOST,114,195,200,44,77,30,27,teamdb_csu,Colorado State,502,0,1124,75,0,1,24,Colorado State,0,24,CSU,#CSURams,#Relentless,107,Rams,"Education, Service, Research, Extension",CSU Rams,Relentless,99,1124,223,24,CSU,8,73,73,73,73,72,68,72,75,80,82,1123,1100,1232,CSU,81,74,COLOST,CSU,15,0,80,1870,1893
BLOB,BLOB,1,25,5,215,18,7,0,525,1023,0,25,0,UCONNX,255,255,255,63,35,10,126,teamdb_uconn,UConn,530,0,1125,93,0,1,25,UConn,0,25,CONN,#GoHuskies,#Navy&White,272,Huskies,Robur,Go Huskies,Navy & White,100,1125,312,117,CONN,255,71,73,76,75,73,73,73,74,81,78,1214,1198,1113,CONN,121,110,UCONNX,CONN,15,0,76,1881,1896
BLOB,BLOB,1,26,0,260,6,7,0,526,1023,0,26,0,DUKEXX,255,255,255,123,61,31,32,teamdb_duke,Duke,523,0,1126,82,1,1,26,Duke,0,26,DUKE,#BleedBlue,#GoDuke,109,Blue Devils,Eruditio et Religio,Bleed Blue,Go Duke,101,1126,225,26,DUKE,7,76,76,76,74,82,78,78,79,90,76,1172,1167,1225,DUKE,37,76,DUKEXX,DUKE,15,0,82,1838,1888
BLOB,BLOB,1,27,6,264,2,7,0,527,1023,0,27,1,EMICHI,255,255,255,55,105,0,35,teamdb_emu,E. Michigan,528,0,1127,116,1,1,27,Eastern Michigan,0,27,EMU,#ETOUGH,#EMUEagles,111,Eagles,"Equity, Exemplar, Excellence",ETOUGH,EMU Eagles,90,1127,227,28,EMU,5,72,71,74,70,73,70,72,75,81,83,1118,1230,1110,EMU,71,125,EMICHI,EMU,15,0,78,1849,1891
BLOB,BLOB,1,28,3,265,16,7,0,528,1023,0,28,1,ECUXXX,17,194,255,139,45,89,34,teamdb_ecu,East Carolina,515,0,1128,59,0,1,28,East Carolina,0,28,ECU,#PirateNation,#GoPirates,110,Pirates,Servire,Pirate Nation,Go Pirates,102,1128,226,27,ECU,13,73,71,75,66,76,73,73,79,77,81,1167,1155,1119,ECU,79,57,ECUXXX,ECU,15,0,83,1907,1932
BLOB,BLOB,1,29,4,130,8,7,0,529,1023,0,29,1,FIUXXX,45,134,181,64,31,9,200,teamdb_fiu,FIU,508,0,1129,120,0,1,29,Florida International,0,29,FIU,#PawsUp,#WeAre305,115,Panthers,Spes Scientia Facultas,Paws Up,We Are 305,19,1129,229,31,FIU,8,76,73,75,68,71,69,72,73,77,77,1131,1162,1229,FIU,96,132,FIUXXX,FIU,15,0,77,1965,2002
BLOB,BLOB,1,30,9,268,4,7,0,530,1023,0,30,3,gators,36,75,240,123,61,31,37,teamdb_gators,Florida,504,0,1130,12,0,1,30,Florida,0,30,FLA,#GoGators,#TheSwamp,113,Gators,Civium in moribus rei publicae salus,Go Gators,The Swamp,103,1130,231,29,FLA,9,82,82,83,79,81,78,82,75,91,85,1132,1134,1201,UF,25,7,gators,FLA,15,0,88,1853,1906
BLOB,BLOB,1,31,3,295,16,7,0,531,1023,0,31,1,FAUXXX,51,32,193,82,45,15,199,teamdb_fau,FLA Atlantic,502,0,1131,112,0,1,31,Florida Atlantic,0,31,FAU,#WIP,#GoOwls,112,Owls,Where Tomorrow Begins,WIP,Go Owls,104,1131,228,30,FAU,9,73,73,77,71,77,74,75,80,69,88,1129,1162,1229,FAU,102,119,FAUXXX,FAU,15,0,86,1961,2001
BLOB,BLOB,1,32,0,269,6,7,0,532,1023,0,32,0,FLORST,135,183,208,63,48,123,38,teamdb_fsu,Florida State,516,0,1132,21,1,1,32,Florida State,0,32,0,#FearTheSpear,#Unconquered,0,Seminoles,"Vires, Artes, Mores",Fear The Spear,Unconquered,105,1132,230,32,FSU,0,79,81,81,77,83,80,82,77,89,85,1130,1158,1121,FSU,62,14,FLORST,FSU,15,0,87,1851,1947
BLOB,BLOB,1,33,8,272,0,7,0,533,1023,0,33,1,FRESNO,75,41,19,46,16,200,39,teamdb_fs,Fresno State,526,0,1133,70,0,1,33,Fresno State,0,33,FRES,#RedWave,#FortheV,117,Bulldogs,Discovery. Diversity. Distinction.,Red Wave,For The V,106,1133,232,33,FRES,5,77,75,76,68,73,74,75,70,84,77,1112,1191,1192,FRES,69,73,FRESNO,FRES,15,0,78,1911,1921
BLOB,BLOB,1,34,9,274,4,7,0,534,1023,0,34,0,GEORGA,0,0,0,47,12,186,41,teamdb_uga,Georgia,502,0,1134,9,0,1,34,Georgia,2,34,UGA,#GoDawgs,#HunkerDown,123,Bulldogs,false,Go Dawgs,Hunker Down,106,1134,236,34,UGA,1,87,87,82,82,82,83,85,77,89,93,1130,1137,1109,UGA,4,4,GEORGA,UGA,15,0,83,1785,1892
BLOB,BLOB,1,35,10,275,14,0,0,535,1023,1,35,1,GEOSOU,255,255,255,65,30,1,39,teamdb_gs,Ga Southern,503,1,1135,110,0,1,35,Georgia Southern,0,35,GASO,#HailSouthern,#GATA,127,Eagles,0,Hail Southern,GATA,90,1135,233,35,GASO,10,76,76,79,69,75,72,75,74,79,72,1103,1136,1207,GASO,92,113,GEOSOU,GASO,0,1,80,1906,1982
BLOB,BLOB,1,36,10,276,14,7,0,536,1023,0,36,2,GEORST,255,255,255,161,51,0,120,teamdb_gsu,Georgia State,501,0,1136,117,0,1,36,Georgia State,0,36,GSU,#LightItBlue,#NewAtlanta,135,Panthers,Veritas valet et vincet,Light It Blue,New Atlanta,19,1136,234,36,GSU,9,72,71,74,68,76,72,73,81,80,77,1135,1103,1194,GAST,131,122,GEORST,GSU,15,0,75,1913,2010
BLOB,BLOB,1,37,0,276,6,7,0,537,1023,0,37,2,GATECH,105,162,180,87,48,0,40,teamdb_gt,Georgia Tech,517,0,1137,46,0,1,37,Georgia Tech,0,37,GT,#StingEm,#RamblinWreck,136,Yellow Jackets,Progress and Service,Sting Em,Ramblin Wreck,107,1137,235,37,GT,3,77,77,76,78,77,77,77,75,83,87,1134,1121,1109,GT,36,42,GATECH,GT,15,0,79,1885,1892
BLOB,BLOB,1,38,7,280,12,7,0,538,1023,0,38,0,HAWAII,0,0,0,52,71,18,45,teamdb_haw,Hawai'i,519,0,1138,94,1,1,38,Hawai'i,0,38,0,#Braddahhood,#GoBows,0,Rainbow Warriors,Maluna aÊ»e o nÄ lÄhui a pau ke ola ke kanaka,Braddahhood,Go Bows,108,1138,237,38,HAW,7,77,75,73,69,77,72,76,83,78,75,1133,1192,1232,HAW,97,68,HAWAII,HAW,15,0,82,1907,1909
BLOB,BLOB,1,39,2,70,17,7,0,539,1023,0,39,0,HOUSTO,255,255,255,46,16,200,46,teamdb_hou,Houston,517,0,1139,71,0,1,39,Houston,0,39,HOU,#GoCoogs,#Scarlet&White,141,Cougars,In Tempore,Go Coogs,Scarlet & White,92,1139,238,39,HOU,10,81,78,77,72,83,81,81,83,83,77,1188,1205,1111,HOU,21,58,HOUSTO,HOU,15,0,88,1927,1946
BLOB,BLOB,1,40,1,129,10,7,0,540,1023,0,40,0,ILLINO,56,75,230,76,40,18,49,teamdb_illini,Illinois,518,0,1140,71,0,1,40,Illinois,0,40,0,#famILLy,#Illini,0,Fighting Illini,Learning and Labor,famILLy,Illini,109,1140,239,40,ILL,8,81,76,72,70,78,72,77,83,85,83,1175,1187,1178,ILL,41,54,ILLINO,ILL,15,0,83,1867,1890
BLOB,BLOB,1,41,1,123,10,7,0,541,1023,0,41,1,INDIAN,255,255,255,54,29,169,50,teamdb_iu,Indiana,533,0,1141,48,0,1,41,Indiana,1,41,IND,#IUFB,#GoIU,143,Hoosiers,Lux Et Veritas,IUFB,Go IU,110,1141,240,41,IND,13,88,90,86,82,88,86,88,88,87,88,1187,1161,1149,IU,5,52,INDIAN,IND,15,0,88,1820,1887
BLOB,BLOB,1,42,1,125,10,7,0,542,1023,0,42,0,IOWAXX,0,205,255,37,37,37,52,teamdb_iowa,Iowa,531,0,1142,19,0,1,42,Iowa,0,42,IOWA,#FightForIowa,#Gold&Black,144,Hawkeyes,0,Fight For Iowa,Gold & Black,111,1142,242,42,IOWA,2,82,78,76,74,81,84,80,71,88,82,1143,1231,1163,IOWA,18,18,IOWAXX,IOWA,15,0,78,1847,1889
BLOB,BLOB,1,43,2,126,17,7,0,543,1023,0,43,0,IOWAST,41,198,255,44,24,170,51,teamdb_isu,Iowa State,526,0,1143,26,0,1,43,Iowa State,0,43,ISU,#Cyclones,#GoCyclones,145,Cyclones,Science with Practice,Cyclones,Go Cyclones,112,1143,241,43,ISU,3,77,76,79,69,77,73,76,80,78,87,1142,1147,1146,ISU,43,33,IOWAST,ISU,15,0,81,1858,1892
BLOB,BLOB,1,44,4,31,8,0,0,544,1023,1,44,1,JVST,32,31,35,45,14,206,88,teamdb_jsu,Jax State,517,1,1144,103,0,1,44,Jacksonville State,0,44,JVST,#FearTheBeak,#StayCocky,146,Gamecocks,Exegi Monumentum Aere Perennius,Fear The Beak,Stay Cocky,113,1144,243,44,JVST,2,74,72,72,69,75,73,73,77,76,82,1207,1162,1210,JXST,123,115,JVST,JVST,0,1,80,1883,1904
BLOB,BLOB,1,45,10,32,14,0,0,545,1023,1,45,0,JAMMAD,105,163,179,114,0,51,54,teamdb_jmu,James Madison,517,1,1145,87,0,1,45,James Madison,0,45,JMU,#GoDukes,#Purple&Gold,147,Dukes,Knowledge is Liberty,Go Dukes,Purple & Gold,114,1145,244,45,JMU,1,71,68,72,69,71,67,70,74,81,83,1181,1103,1150,JMU,35,93,JAMMAD,JMU,0,1,77,1908,1972
BLOB,BLOB,1,46,2,33,17,7,0,546,1023,0,46,1,KANSAS,47,32,206,144,76,14,54,teamdb_ku,Kansas,521,0,1146,80,0,1,46,Kansas,0,46,KU,#RockChalk,#GoKU,148,Jayhawks,0,Rock Chalk,Go KU,115,1146,246,46,KU,7,77,76,75,78,77,72,77,75,87,80,1147,1165,1168,KU,52,89,KANSAS,KU,15,0,85,1866,1890
BLOB,BLOB,1,47,2,143,17,7,0,547,1023,0,47,0,KANSST,177,180,172,87,4,51,55,teamdb_ksu,Kansas State,527,0,1147,38,0,1,47,Kansas State,0,47,KSU,#EMAW,#Powercat,151,Wildcats,Rule by Obeying Natureâs Laws,EMAW,Powercat,81,1147,245,47,KSU,4,80,78,79,73,83,76,80,88,85,73,1146,1143,1123,KSU,68,37,KANSST,KSU,15,0,82,1863,1896
BLOB,BLOB,1,48,6,35,2,7,0,548,1023,0,48,2,KENTXX,33,171,235,118,57,0,57,teamdb_kent,Kent State,508,0,1148,130,1,1,48,Kent State,0,48,KENT,#GoFlashes,#HAB1TS,155,Golden Flashes,On with purpose,Go Flashes,HAB1TS,116,1148,247,49,KENT,11,68,66,68,68,72,68,70,74,74,76,1114,1101,1177,KENT,134,127,KENTXX,KENT,15,0,79,1910,1920
BLOB,BLOB,1,49,9,38,4,7,0,549,1023,0,49,0,KENTUC,255,255,255,141,70,26,56,teamdb_uk,Kentucky,527,0,1149,33,0,1,49,Kentucky,0,49,UK,#BigBlueNation,#SeeBlue,159,Wildcats,"United We Stand, Divided We Fall",Big Blue Nation,See Blue,81,1149,248,50,UK,7,78,78,81,73,81,81,80,78,85,80,1153,1201,1222,UK,46,56,KENTUC,UK,15,0,81,1865,1881
BLOB,BLOB,1,50,4,245,8,0,0,550,1023,1,50,0,LIBERT,48,25,167,65,30,1,59,teamdb_lu,Liberty,521,1,1150,109,0,1,50,Liberty,0,50,LIB,#GoFlames,#FlamesNation,160,Flames,Knowledge Aflame,Go Flames,Flames Nation,117,1150,249,51,LIB,0,74,73,76,70,77,77,76,74,82,73,1122,1181,1145,LU,99,87,LIBERT,LIB,0,1,78,1971,1973
BLOB,BLOB,1,51,10,216,15,7,0,551,1023,0,51,1,ULLAFY,255,255,255,66,3,200,127,teamdb_ull,Louisiana,505,0,1151,97,1,1,51,Louisiana,0,51,0,#GeauxCajuns,#cULture,0,Ragin' Cajuns,"Boldly, Happily, Faithfully",Geaux Cajuns,cULture,118,1151,251,52,ULL,9,76,71,72,68,72,69,72,74,74,83,1213,1107,1152,UL,94,83,ULLAFY,ULL,15,0,77,1898,1901
BLOB,BLOB,1,52,10,40,15,7,0,552,1023,0,52,1,LATECH,47,32,206,123,61,31,58,teamdb_ltu,Louisiana Tech,513,0,1152,100,0,1,52,Louisiana Tech,0,52,LT,#HBTD,#BarkLouder,161,Bulldogs,"Union, Confidence, Justice",HBTD,Bark Louder,106,1152,250,53,LT,7,72,71,71,74,75,72,73,75,75,77,1196,1151,1213,LTU,100,91,LATECH,LT,15,0,79,1894,1901
BLOB,BLOB,1,53,0,41,6,7,0,553,1023,0,53,1,LOUISV,0,0,0,48,2,193,59,teamdb_ul,Louisville,526,0,1153,39,0,1,53,Louisville,0,53,LOU,#GoCards,#TheVille,162,Cardinals,0,Go Cards,The Ville,87,1153,252,54,LOU,1,81,82,82,82,83,79,82,81,92,83,1149,1120,1157,LOU,24,40,LOUISV,LOU,15,0,84,1798,1912
BLOB,BLOB,1,54,9,76,4,7,0,554,1023,0,54,0,lsutigers,47,197,255,130,45,89,60,teamdb_lsutigers,LSU,508,0,1154,6,0,1,54,LSU,0,54,LSU,#GeauxTigers,#BayouBengals,164,Tigers,0,Geaux Tigers,Bayou Bengals,86,1154,253,55,LSU,4,85,86,85,81,90,83,87,90,86,88,1102,1182,1106,LSU,12,1,lsutigers,LSU,15,0,88,1860,1893
BLOB,BLOB,1,55,10,45,14,7,0,555,1023,0,55,0,MARSHA,32,31,35,79,169,0,61,teamdb_marsh,Marshall,501,0,1155,60,0,1,55,Marshall,0,55,MRSH,#GoHerd,#WeAreMarshall,165,Thundering Herd,0,Go Herd,We Are Marshall,119,1155,254,56,MRSH,9,74,71,74,68,77,74,73,78,78,80,1177,1228,1103,MRSH,120,79,MARSHA,MRSH,15,0,79,1837,1895
BLOB,BLOB,1,56,1,47,10,7,0,556,1023,0,56,2,MARYLA,0,210,255,55,25,227,62,teamdb_terps,Maryland,519,0,1156,80,0,1,56,Maryland,0,56,UMD,#FearTheTurtle,#GoTerps,169,Terrapins,0,Fear The Turtle,Go Terps,120,1156,255,57,UMD,6,77,78,78,75,81,77,80,82,82,86,1185,1228,1166,TERPS,64,55,MARYLA,UMD,15,0,79,1856,1892
BLOB,BLOB,1,57,3,49,16,7,0,557,1023,0,57,0,MEMPHI,162,159,157,144,73,0,63,teamdb_mem,Memphis,524,0,1157,63,0,1,57,Memphis,0,57,MEM,#GoTigersGo,CloseTheGap,170,Tigers,"To imagine, to think, to do",Go Tigers Go,Close The Gap,86,1157,256,58,MEM,3,78,75,76,70,77,77,76,74,80,80,1196,1182,1210,MEM,49,59,MEMPHI,MEM,15,0,78,1912,1912
BLOB,BLOB,1,58,0,130,6,7,0,558,1023,0,58,1,hurricanes,38,71,224,52,71,21,64,teamdb_hurricanes,Miami,527,0,1158,31,0,1,58,Miami,0,58,MIA,#AllAboutTheU,#GoCanes,171,Hurricanes,Magna est veritas,All About The U,Go Canes,121,1158,258,59,MIA,8,86,86,87,77,88,78,87,91,93,88,1132,1130,1176,MIA,6,49,hurricanes,MIA,15,0,93,1925,1926
BLOB,BLOB,1,59,6,1,2,7,0,559,1023,0,59,1,MIAMOH,255,255,255,48,2,193,65,teamdb_miau,Miami (OH),532,0,1159,119,0,1,59,Miami University,0,59,MIAOH,#RiseUpRedHawks,#CradleofCoaches,172,RedHawks,Prodesse Quam Conspici,Rise Up Red Hawks,Cradle of Coaches,122,1159,257,60,MIAOH,0,73,72,75,73,73,73,73,71,79,76,1177,1120,1110,M-OH,113,112,MIAMOH,MIAOH,15,0,80,1809,1888
