_parent_table_path,_parent_table_name,_parent_record_index,_index,EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCBT,PCMT,PCTH,PDPI,PDRO,PDRR,PELU,PEPS,PFMS,PFNA,PGID,PHAN,PHGT,PHSN,PHTN,PICN,PIEA,PIIP,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLDT,PLHT,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLTY,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PPOS,PQBS,PRBF,PRBK,PRBS,PROL,PRSD,PRSE,PSPD,PSTA,PSTM,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTUP,PUHE,PWGT,PYCF,PYEA,PYWT,SRRN,TGID
BLOB,BLOB,1,12,0,0,72,0,59,75,35,38,46,46,55,2,89,35,0,63,30,54,AmbroseCameron_129,38,Cameron,129,0,76,0,Pinson,1,0,0,13,85,58,68,31,27,42,25505,78,33,0,1,50,80,32,34,1,Ambrose,32,0,46,99,34,35,41,36,32,34,38,34,27,30,129,68,69,72,74,42,9,0,70,69,68,0,3,15,61,90,46,82,8592,16,38,12,30,1,90,36,22,36,43,0,135,53,3,0,32,1107
BLOB,BLOB,1,13,0,0,92,18,86,73,44,37,56,30,56,0,103,69,511,63,48,82,AndersonJamal_134,65,Jamal,134,0,75,9,Buford,1,0,0,25,90,32,87,39,48,47,37951,57,37,0,1,73,66,44,70,1,Anderson,65,0,63,99,76,87,46,37,47,48,39,49,74,45,134,74,62,66,54,37,15,0,54,56,63,2,3,3,87,86,28,77,6610,34,83,13,23,1,87,26,16,26,30,0,65,41,2,0,46,1193
BLOB,BLOB,1,14,0,0,90,18,87,82,82,73,45,24,73,0,103,81,0,63,81,84,AndersonNic_137,48,Nic,137,0,76,42,Katy,1,0,0,10,83,4,92,31,31,79,4800,49,79,0,1,55,58,82,34,1,Anderson,49,0,44,99,43,35,88,71,90,78,69,20,31,84,137,83,27,37,36,42,3,0,55,60,51,2,3,13,91,87,45,75,12578,25,51,12,16,1,83,16,30,32,32,0,45,53,3,0,82,1149
BLOB,BLOB,1,15,0,0,83,21,79,87,73,67,45,55,69,0,0,41,0,63,24,79,AngeliSteve_141,47,Steve,141,0,75,29,Westfield,1,0,1,5,82,9,78,45,40,27,55613,41,28,0,1,55,41,75,40,1,Angeli,24,0,50,99,40,59,36,55,33,74,59,0,41,23,141,80,40,51,36,84,0,30,35,50,38,1,3,3,81,89,36,65,10131,76,51,85,90,1,84,85,87,77,84,0,52,0,3,0,27,1198
BLOB,BLOB,1,16,0,0,88,21,86,79,85,75,49,76,73,0,150,51,0,63,30,85,ArnoldJackson_146,33,Jackson,146,0,73,42,Denton,1,0,0,5,90,11,82,25,30,38,26941,45,41,0,1,52,45,83,43,1,Arnold,46,0,36,99,31,60,37,66,44,77,70,3,39,32,146,77,45,45,46,77,0,13,51,51,52,2,0,3,83,88,45,65,12590,77,50,82,85,1,93,36,92,82,70,0,60,51,3,0,43,1215
BLOB,BLOB,1,17,0,0,91,22,81,85,76,76,53,38,79,0,0,63,0,63,44,81,AugustaveIsaiah_149,43,Isaiah,149,0,73,8,Naples,1,0,0,5,90,4,85,37,36,78,17851,55,64,0,1,67,62,83,42,1,Augustave,32,0,46,99,41,64,64,84,62,81,84,10,39,56,149,78,57,60,61,33,1,0,57,55,56,1,3,2,87,86,20,76,8622,27,60,17,18,1,88,41,33,24,42,0,55,0,2,0,62,1195
BLOB,BLOB,1,18,0,0,94,19,92,75,82,60,32,30,62,0,0,76,0,63,74,91,AcevedoNathan_154,28,Nathan,154,0,70,4,San Diego,1,0,0,10,77,13,90,24,48,96,32062,26,69,0,1,27,24,84,67,1,Acevedo,41,0,27,99,63,28,69,22,74,82,39,17,55,72,154,76,14,28,23,47,3,0,23,29,19,0,0,3,93,96,45,51,8556,32,27,22,35,1,85,23,33,30,43,0,10,50,3,0,70,1191
BLOB,BLOB,1,19,0,0,91,0,89,86,87,78,41,87,67,0,262,54,0,63,31,88,BarnettIIIAlonza_155,37,Alonza,155,0,71,32,Whitsett,1,0,1,5,79,14,88,28,42,48,25505,36,51,0,1,46,43,87,44,1,Barnett III,45,0,45,99,24,57,44,64,62,85,66,2,42,32,155,85,34,35,34,81,0,6,42,42,41,2,3,3,89,94,45,68,11660,84,45,90,88,1,85,27,88,92,80,0,50,42,3,0,40,1211
BLOB,BLOB,1,20,0,0,92,0,89,76,44,37,48,35,55,0,350,65,0,63,25,87,BellDJ_157,33,DJ,157,0,74,8,Pensacola,1,0,0,30,83,5,87,43,25,51,25505,52,25,0,1,56,47,57,74,1,Bell,73,0,35,99,75,76,36,44,25,56,37,57,79,29,157,75,57,61,52,38,16,0,53,55,62,0,3,3,87,94,36,58,6792,27,59,15,28,1,92,27,26,13,39,0,25,55,3,0,27,1211
BLOB,BLOB,1,21,0,0,62,19,61,90,37,34,43,40,52,3,393,32,511,63,32,55,BestBrandon_160,38,Brandon,160,0,76,9,Tucker,1,0,0,0,96,58,71,47,38,38,26815,85,35,0,1,43,88,37,33,1,Best,32,0,46,99,39,37,46,33,37,32,34,27,29,34,160,83,87,88,89,28,7,0,80,82,84,0,3,15,61,94,46,88,12658,30,34,16,16,1,94,40,18,21,41,0,153,2,3,0,32,1128
BLOB,BLOB,1,22,0,0,75,18,63,81,24,41,85,38,57,3,0,31,0,63,26,51,BettBrendan_161,64,Brendan,161,0,76,0,Gadsden,1,0,0,16,92,90,73,29,31,36,51776,55,27,0,1,78,84,24,31,1,Bett,31,0,84,99,79,74,40,40,27,25,42,44,25,26,161,82,61,68,54,32,12,0,56,56,65,1,3,15,67,83,20,88,12660,25,82,10,10,1,94,37,20,19,26,0,152,0,2,0,25,1130
BLOB,BLOB,1,23,0,0,85,0,77,69,24,26,54,31,59,2,4913,55,0,63,46,74,TaylorEkow_164,77,Ekow,164,0,77,31,Bronx,1,0,0,21,76,6,86,47,34,40,25505,32,49,0,1,72,63,48,46,1,Taylor,49,0,51,99,67,73,47,25,49,48,24,39,48,45,164,69,25,27,26,39,11,0,26,12,24,0,0,13,79,86,15,62,16194,37,72,17,26,1,84,32,32,18,41,0,60,59,2,0,46,1220
BLOB,BLOB,1,24,0,0,75,0,67,75,38,31,78,42,51,2,2148,46,0,63,34,58,HastingsIsaiah_167,68,Isaiah,167,0,76,50,Toronto,1,0,0,8,87,99,78,25,30,34,25505,57,37,0,1,77,69,36,48,1,Hastings,44,0,76,99,76,73,45,28,35,37,27,44,35,34,167,76,58,62,50,30,12,0,51,49,58,2,3,15,67,89,20,84,9308,10,84,15,24,1,92,14,35,21,39,0,150,58,3,0,37,1198
BLOB,BLOB,1,25,0,0,90,22,89,80,76,72,54,35,75,0,3116,82,0,63,83,86,MarshallChris_170,44,Chris,170,0,75,42,Missouri City,1,0,0,37,84,6,92,38,40,79,4156,39,77,0,1,66,42,84,47,1,Marshall,33,0,47,99,44,63,85,72,89,79,65,14,41,81,170,81,17,32,28,29,3,0,56,55,54,2,3,13,91,87,45,74,21359,14,61,16,10,1,84,33,17,28,33,0,62,43,3,0,79,1106
BLOB,BLOB,1,26,0,0,83,20,67,68,32,46,76,39,53,2,0,39,0,63,32,53,BrelandAydin_173,78,Aydin,173,0,77,4,Santa Ana,1,0,0,18,90,42,77,47,35,38,50237,58,32,0,1,82,80,32,42,1,Breland,37,0,82,99,70,79,42,49,32,32,48,44,33,32,173,80,65,72,56,30,12,0,56,64,71,2,3,10,69,85,20,96,15542,16,83,19,26,1,88,42,24,29,24,0,144,3,1,0,32,1183
BLOB,BLOB,1,27,0,0,94,0,90,82,82,81,30,47,85,0,2454,75,0,63,64,87,JacksonQuinton_175,24,Quinton,175,0,67,42,Fort Worth,1,0,1,5,88,10,87,27,25,87,25505,25,65,0,1,26,23,85,41,1,Jackson,31,0,24,99,56,25,64,40,70,83,42,6,41,68,175,84,42,45,38,38,1,0,24,35,26,0,3,8,91,90,15,55,7445,32,24,20,33,1,84,22,21,19,31,0,0,52,3,0,72,1188
BLOB,BLOB,1,28,0,0,92,18,87,79,73,76,47,24,72,0,644,83,0,63,75,88,BrownCJ_177,36,CJ,177,0,73,3,Bentonville,1,0,0,10,91,3,91,24,33,91,49472,34,79,0,1,53,39,79,57,1,Brown,32,0,39,99,42,49,69,37,82,79,40,17,27,79,177,79,26,35,34,39,3,1,31,39,30,1,0,3,89,87,38,68,12070,12,47,34,17,1,83,11,14,22,47,0,34,58,2,0,83,1106
BLOB,BLOB,1,29,0,0,93,20,89,83,85,85,47,43,88,2,644,71,0,63,41,87,BrownKeyjuan_178,42,Keyjuan,178,0,70,0,Anniston,1,0,1,5,90,5,84,28,40,77,37182,39,63,0,1,61,46,86,44,1,Brown,34,0,41,99,46,54,50,82,56,85,86,6,48,54,178,87,53,54,54,45,1,0,33,46,37,1,3,3,90,88,15,77,6873,36,53,33,34,1,90,40,19,11,24,0,55,0,2,0,56,1153
BLOB,BLOB,1,30,0,0,94,21,93,87,74,73,57,36,53,0,644,76,0,63,40,91,BrownZabien_180,48,Zabien,180,0,72,4,Santa Ana,1,0,1,40,92,2,93,33,43,60,56764,57,64,0,1,78,58,81,91,1,Brown,87,0,42,99,87,81,51,43,71,78,35,54,88,40,180,91,44,44,45,43,16,0,53,54,61,1,0,3,94,91,36,60,12731,29,75,33,16,1,85,41,38,23,46,0,34,0,2,0,41,1102
BLOB,BLOB,1,31,0,0,79,0,76,74,62,54,37,44,58,0,0,37,0,63,26,76,CaminongEJ_181,33,EJ,181,0,74,46,Seattle,1,0,0,34,81,2,70,43,25,25,25505,26,27,0,1,34,27,69,43,1,Caminong,28,0,30,99,34,67,39,42,33,59,44,0,36,25,181,67,22,32,26,65,0,0,20,24,23,1,3,3,74,88,45,54,15574,75,30,77,77,1,83,27,89,74,75,0,60,42,1,0,30,1117
BLOB,BLOB,1,32,0,0,72,19,60,85,41,41,56,24,50,3,7583,32,0,63,32,56,BrunnerJoe_182,29,Joe,182,0,79,48,Whitefish Bay,1,0,0,0,90,56,71,33,47,30,25151,81,26,0,1,60,89,29,26,1,Brunner,29,0,57,99,40,28,42,41,32,30,42,37,31,26,182,83,82,84,89,25,8,0,77,79,83,2,3,5,61,85,20,91,12735,33,44,35,17,1,93,39,14,20,28,0,153,0,3,0,31,1141
BLOB,BLOB,1,33,0,0,90,18,83,83,43,35,77,36,54,2,661,57,0,63,43,80,BryantDeven_183,45,Deven,183,0,71,4,Carson,1,0,0,36,90,17,87,36,36,44,28095,53,35,0,1,81,67,43,70,1,Bryant,40,0,56,99,82,86,47,35,43,43,35,50,75,43,183,80,60,63,53,36,15,0,54,53,60,1,3,3,84,89,25,78,12071,24,87,24,24,1,91,40,24,24,36,0,70,0,2,0,43,1216
BLOB,BLOB,1,34,0,0,83,51,79,64,67,66,42,43,61,2,3398,73,0,63,57,75,MillerAJ_186,36,AJ,186,0,76,34,Pickerington,1,0,0,64,77,84,80,28,47,58,25505,45,72,0,1,24,50,61,39,1,Miller,25,0,33,99,44,36,44,62,64,57,60,24,49,63,186,61,46,51,52,36,4,0,56,55,47,0,3,12,75,93,25,68,15405,17,36,28,24,1,82,26,10,28,42,0,79,54,1,0,69,1177
BLOB,BLOB,1,35,0,0,79,0,75,73,60,49,47,43,54,0,719,36,0,63,23,73,BurtonRyder_187,43,Ryder,187,0,74,43,Springville,1,0,0,33,86,5,70,37,27,23,25505,40,25,0,1,58,40,68,35,1,Burton,38,0,47,99,41,68,37,44,24,61,39,0,39,26,187,72,40,50,39,67,0,4,36,49,36,0,3,3,74,87,40,64,8836,83,50,84,83,1,88,32,89,82,70,0,40,45,2,0,28,1210
BLOB,BLOB,1,36,0,0,92,0,93,73,69,72,29,27,71,0,3467,79,0,63,73,92,MooreJayden_190,23,Jayden,190,0,68,19,Sykesville,1,0,0,10,79,8,92,34,38,90,25505,30,72,0,1,26,30,77,51,1,Moore,38,0,26,99,53,24,68,24,79,77,44,17,34,74,190,76,14,29,25,40,3,0,28,34,27,1,3,8,91,85,38,60,13423,27,27,32,18,1,80,39,19,25,40,0,30,0,1,0,75,1126
BLOB,BLOB,1,37,0,0,65,19,57,81,39,37,47,41,54,3,8078,29,0,63,24,56,CarreonRoger_192,30,Roger,192,0,77,30,Jal,1,0,0,44,88,62,67,43,38,24,36286,79,28,0,1,52,87,28,25,1,Carreon,29,0,49,99,37,28,40,38,26,25,39,37,26,27,192,77,82,81,83,43,8,0,79,80,79,0,3,15,56,87,20,87,12774,14,37,10,17,1,89,40,26,27,47,0,150,0,3,0,29,1112
BLOB,BLOB,1,38,0,0,84,0,78,80,33,34,65,26,53,2,1127,49,0,63,28,75,CulbreathJahleel_203,58,Jahleel,203,0,76,45,Virginia Beach,1,0,0,29,86,34,81,41,36,32,25505,50,36,0,1,77,59,29,68,1,Culbreath,45,0,52,99,78,84,38,34,28,29,35,49,75,32,203,69,56,61,46,34,13,0,55,53,63,0,3,3,78,87,10,69,7015,22,77,25,15,1,84,27,30,11,45,0,62,52,3,0,28,1211
BLOB,BLOB,1,39,0,0,64,23,65,65,26,43,56,37,56,3,2361,27,0,63,27,51,HubbardLevi_210,27,Levi,210,0,77,0,Tuscaloosa,1,1,0,77,94,78,67,50,29,43,23994,81,26,0,1,61,91,27,25,1,Hubbard,28,0,63,99,47,30,38,43,25,26,45,28,17,29,210,81,79,82,92,32,7,0,85,85,95,2,3,15,56,86,5,92,1929,36,45,34,36,1,89,40,18,34,43,0,150,0,2,0,28,1102
BLOB,BLOB,1,40,0,0,94,19,89,78,58,38,51,38,53,0,3791,65,0,63,34,87,ParksIIIAntonio_214,48,Antonio,214,0,70,0,Alabaster,1,1,0,25,84,11,93,30,42,59,51775,55,45,0,1,69,50,65,67,1,Parks III,72,0,42,99,70,71,51,46,49,67,38,56,88,36,214,79,61,65,53,42,16,0,55,55,65,2,0,3,91,93,36,59,1346,32,68,12,37,1,89,40,26,12,35,0,20,0,2,0,38,1102
BLOB,BLOB,1,41,0,0,93,20,88,64,55,46,56,44,65,0,3760,68,0,63,34,86,OverstreetQuinton_216,46,Quinton,216,0,72,9,Conyers,1,1,0,47,93,32,91,24,44,63,42301,56,48,0,1,74,57,64,78,1,Overstreet,74,0,46,99,75,74,45,59,42,65,45,57,74,31,216,76,63,69,57,24,16,0,57,62,68,2,3,13,90,91,36,71,3964,10,74,28,20,1,91,38,21,13,34,0,34,0,0,0,34,1102
BLOB,BLOB,1,42,0,0,95,18,91,70,65,34,45,33,52,0,5307,73,0,63,43,90,WhiteJarrelle_217,37,Jarrelle,217,0,74,0,Jackson,1,1,0,39,85,14,92,36,41,60,24640,56,45,0,1,64,49,76,69,1,White,67,0,30,99,70,75,47,35,47,77,32,57,81,45,217,76,59,59,52,34,16,0,52,54,61,2,0,3,92,87,36,57,424,15,58,12,22,1,87,38,22,31,32,0,36,0,1,0,45,1102
BLOB,BLOB,1,43,0,0,94,18,90,66,66,39,54,39,62,0,5971,67,0,63,43,92,RollinsDarius_218,45,Darius,218,0,76,0,Gordo,1,1,0,46,82,38,91,39,44,66,21951,59,49,0,1,71,53,81,76,1,Rollins,72,0,43,99,72,73,48,46,47,72,39,54,68,43,218,76,59,64,54,40,16,0,53,57,64,2,0,3,92,90,36,60,2730,21,59,10,15,1,90,30,31,18,41,0,42,0,0,0,43,1102
BLOB,BLOB,1,44,0,0,81,21,64,75,31,37,87,41,52,3,609,36,0,63,31,51,BrewsterDarnell_219,73,Darnell,219,0,75,0,Pike Road,1,1,0,14,90,68,77,44,30,34,58173,56,28,0,1,87,72,30,39,1,Brewster,29,0,84,99,81,85,41,38,27,31,38,44,29,30,219,85,60,64,56,29,12,0,56,57,62,2,3,5,65,89,20,89,4413,37,90,27,17,1,90,40,38,24,44,0,166,0,3,0,30,1102
BLOB,BLOB,1,45,0,0,72,24,62,72,26,49,86,40,49,3,3228,28,0,63,23,41,McKoyXavier_220,65,Xavier,220,0,77,40,Harrisburg,1,1,0,7,97,93,71,28,47,31,4538,58,23,0,1,83,82,26,31,1,McKoy,23,0,83,99,72,78,36,46,26,27,49,44,18,23,220,84,64,70,57,37,12,0,55,59,67,2,3,15,61,87,20,95,3839,33,90,27,34,1,88,40,22,26,44,0,172,0,1,0,26,1102
BLOB,BLOB,1,46,0,0,77,18,63,70,27,40,80,39,55,3,772,31,0,63,24,45,CannonWalter_221,65,Walter,221,0,76,30,Carlsbad,1,1,0,14,92,65,75,47,34,32,51904,55,26,0,1,82,79,25,31,1,Cannon,28,0,83,99,69,75,38,39,27,28,39,44,25,27,221,79,59,67,54,24,12,0,54,59,65,2,0,15,64,86,20,88,3045,12,85,19,27,1,87,40,21,13,37,0,147,0,0,0,25,1102
BLOB,BLOB,1,47,0,0,75,23,65,67,29,45,78,27,52,3,2506,34,0,63,29,50,JohnsonKyler_223,70,Kyler,223,0,77,31,Brooklyn,1,1,0,26,92,98,73,46,37,36,4795,57,28,0,1,83,74,26,40,1,Johnson,31,0,84,99,75,79,38,42,28,25,45,44,24,26,223,80,64,68,56,46,12,0,54,57,68,2,0,15,63,89,20,91,4745,12,85,27,13,1,89,28,38,20,25,0,159,0,1,0,27,1102
BLOB,BLOB,1,48,0,0,91,23,86,60,59,44,62,46,31,0,1392,71,0,63,32,85,DuncanMatthew_224,45,Matthew,224,0,72,0,Birmingham,1,1,0,39,85,34,86,32,47,53,7099,59,49,0,1,78,60,55,70,1,Duncan,76,0,44,99,72,76,46,58,43,56,57,59,72,33,224,71,64,66,53,46,17,0,55,53,66,1,0,13,88,88,36,71,508,29,77,24,32,1,91,40,13,12,37,0,40,0,0,0,34,1102
BLOB,BLOB,1,49,0,0,91,18,85,74,77,85,53,26,87,2,7777,63,0,63,44,86,ToneyTyshawn_229,44,Tyshawn,229,0,72,0,Millbrook,1,1,0,53,93,39,85,37,30,70,35008,47,60,0,1,65,59,76,35,1,Toney,32,0,44,99,40,64,48,87,53,74,87,5,45,44,229,82,58,61,57,25,1,0,40,52,40,1,0,3,88,87,15,79,2480,37,60,33,19,1,91,32,29,12,46,0,47,0,1,0,52,1102
BLOB,BLOB,1,50,0,0,95,19,91,70,77,79,46,24,83,2,661,72,0,63,42,92,BryantBamBam_230,37,BamBam,230,0,75,9,Calhoun,1,1,0,70,84,42,88,25,36,93,2751,45,73,0,1,55,51,80,61,1,Bryant,40,0,37,99,59,53,64,79,67,76,81,6,56,59,230,81,55,58,59,35,1,0,35,50,39,2,0,3,90,82,15,72,384,33,51,25,34,1,81,40,35,34,29,0,69,0,0,0,69,1102
BLOB,BLOB,1,51,0,0,75,23,73,66,43,39,37,31,57,1,2639,46,0,63,47,72,KingMitch_232,26,Mitch,232,0,76,45,Mineral,1,1,0,24,85,10,60,88,88,47,64954,32,31,0,1,36,28,31,36,1,King,38,0,26,99,38,26,48,27,48,35,25,61,40,42,232,81,38,42,33,38,19,0,42,24,41,0,0,5,72,85,46,50,3306,19,31,23,27,1,89,46,38,31,46,0,45,0,2,0,30,1102
BLOB,BLOB,1,52,0,0,77,20,70,47,44,44,90,41,59,2,3116,31,0,63,29,55,MarshallKirkland_233,64,Kirkland,233,0,75,0,Spanish Fort,1,1,0,19,98,95,76,41,40,41,15294,47,27,0,1,81,76,30,28,1,Marshall,25,0,79,99,84,81,39,48,30,27,48,41,22,30,233,80,58,65,51,48,10,0,51,59,67,2,0,13,71,74,15,89,3063,15,89,36,25,1,86,40,38,26,36,0,138,0,2,0,28,1102
BLOB,BLOB,1,53,0,0,78,18,73,72,46,45,89,39,57,2,59,31,0,63,28,58,AlexanderJamario_234,65,Jamario,234,0,77,34,Tipp City,1,1,0,2,98,51,75,39,42,41,26688,45,28,0,1,77,73,30,26,1,Alexander,22,0,82,99,81,81,40,44,31,31,47,41,24,27,234,80,59,64,54,26,10,0,55,59,68,2,3,13,71,77,15,88,2683,32,85,24,22,1,88,26,23,18,30,0,157,0,2,0,28,1102
BLOB,BLOB,1,54,0,0,65,18,66,44,44,44,56,41,50,3,2996,25,0,63,26,51,LucasJrChris_236,24,Chris,236,0,75,0,Evergreen,1,1,0,48,92,60,63,32,36,24,11072,76,26,0,1,64,88,27,28,1,Lucas Jr.,25,0,59,99,42,29,38,43,29,26,45,37,24,24,236,69,76,79,81,36,6,0,83,77,84,1,0,15,52,82,20,92,4750,30,43,29,33,1,85,38,21,25,25,0,146,0,0,0,27,1102
BLOB,BLOB,1,55,0,0,91,19,83,60,38,39,71,27,54,2,2030,54,0,63,39,75,GuytonJordan_238,86,Jordan,238,0,74,0,Pelham,1,1,0,44,88,47,86,42,41,39,18623,57,37,0,1,79,73,36,63,1,Guyton,42,0,65,99,69,82,41,39,36,39,36,48,80,35,238,69,61,66,51,37,15,0,51,55,61,2,0,13,81,79,20,78,3128,17,79,17,26,1,84,45,22,16,47,0,73,0,1,0,35,1102
